frame,anger,disgust,fear,happiness,sadness,surprise
1,2e-5,0.004262,4.6e-5,1.8e-5,2.41e-4,0.001924
2,1.9999999999987764e-5,0.004260983994195728,4.497868385002557e-5,1.799999999999981e-5,2.4007994379143932e-4,0.0019339659139141483
3,2.00000000000825e-5,0.0042609739641489355,4.500976394724373e-5,1.800000000000128e-5,2.4094469716230425e-4,0.0019322888938134001
4,1.9999999999524044e-5,0.004261217479190495,4.49966918102881e-5,1.7999999999992604e-5,2.398795819200028e-4,0.0019365084135535113
5,2.0000000002395224e-5,0.004262042089261413,4.500097989850893e-5,1.800000000003722e-5,2.40035668177319e-4,0.0019378909647535716
6,1.9999999989007154e-5,0.004262333927973903,4.499973338109683e-5,1.7999999999829188e-5,2.3999029566124406e-4,0.0019428263026179105
7,2.000000004702119e-5,0.004263212787102204,4.5000067879358326e-5,1.8000000000730638e-5,2.4000246828786862e-4,0.001942882344550196
8,1.9999999810988316e-5,0.004262377774642529,4.499998374959316e-5,1.799999999706305e-5,2.3999941861798123e-4,0.0019399612966533018
9,2.000000071310061e-5,0.0042619994826051276,4.500000364181621e-5,1.8000000011080482e-5,2.4000009433326316e-4,0.0019407968171178832
10,1.999999750601155e-5,0.004261769971989389,4.499999924727826e-5,1.7999999961247274e-5,2.4000010630198282e-4,0.0019402191326964879
11,2.0000007815523854e-5,0.00426329143151516,4.500000014074026e-5,1.8000000121441167e-5,2.3999958613793522e-4,0.0019402006304802383
12,1.9999980146179567e-5,0.004261876491531151,4.49999999718591e-5,1.7999999691502304e-5,2.400010633257159e-4,0.0019372610138584927
13,2.0000023464478287e-5,0.004265264483047057,4.5000000010862746e-5,1.800000036460174e-5,2.3999874248040537e-4,0.0019369778824540442
14,2.0000166319023764e-5,0.004275425058008914,4.500000006809117e-5,1.8000002584340674e-5,2.399910862268109e-4,0.0019369549041394734
15,1.9998237054968927e-5,0.004169476130791024,4.499999928341918e-5,1.7999972606557905e-5,2.4009674847184882e-4,0.0019345370599142897
16,2.00112058367085e-5,0.004903580542788272,4.500000455296213e-5,1.800017412138982e-5,2.411135112896256e-4,0.001930240334717399
17,1.9940926657141935e-5,9.701842403013307e-4,4.499997599890219e-5,1.7999082091518257e-5,2.4084578481795498e-4,0.001927276397447521
18,2.0331891209310725e-5,0.020087356159645763,4.500011363506136e-5,1.8004345914956448e-5,2.417114292116372e-4,0.0019232290062970324
19,2.1287427967481892e-5,0,4.4999501693746626e-5,1.798094252997839e-5,2.4330392194094738e-4,0.0019208952023985401
20,2.3922188055321558e-5,0.4448702042422097,4.500204956939541e-5,1.807838474278562e-5,2.4625222938001154e-4,0.0019116027170925434
21,3.421777094725126e-5,0.9835553945616364,4.499207541206027e-5,1.7462999227476687e-5,2.532125313010109e-4,0.0018861874171049384
22,7.201462038856439e-5,0.966320517190899,4.50285836853829e-5,1.623778274724663e-5,2.6814589219810583e-4,0.0018325609449214872
23,2.5642850448186417e-4,0.9748186259193647,4.4906064690984665e-5,1.5393774291821614e-5,3.000760311904572e-4,0.0017324768689651355
24,0.0010213686327430523,0.9743181817463861,4.589659115328169e-5,1.2401102406117405e-5,3.6174137870307064e-4,0.0015511666236473053
25,0.0029886092497597863,0.9764124795540559,4.599983153879872e-5,1.0132572928624928e-5,4.7023887502243243e-4,0.0013481644374342416
26,0.0070122447069588785,0.979088840606155,4.8108140166647285e-5,6.9325096106938005e-6,7.113483862428601e-4,0.0010479958316487006
27,0.017489386952614,0.9820142005436084,5.956489160069024e-5,3.768509426320715e-6,0.0014959178928434732,6.305038623471142e-4
28,0.07694229304737817,0.9859523461297678,9.264096200954038e-5,1.5922315577521718e-6,0.004348833077802323,2.6103362438025744e-4
29,0.3935198174862493,0.9885781469433464,1.9021688580965566e-4,0,0.030598770110408163,6.0344250279526145e-5
30,0.7707553465779632,0.9907013610008384,3.121249353214443e-4,4.668832269289726e-8,0.07470896139063474,2.328623104119289e-5
31,0.8598324914898475,0.9913294674686655,3.5087767827984736e-4,0,0.0721229652590698,1.6977215829093594e-5
32,0.9160232734626296,0.9944693006923182,3.4947626595928355e-4,3.128783306575234e-9,0.06473011186264072,1.4672699505617622e-5
33,0.9339454646604011,0.9967336559148882,3.2074901002302576e-4,0,0.060668427006807225,1.5369353081663663e-5
34,0.9490875760428877,0.9975650717478741,2.917246850393806e-4,1.6221152105403e-10,0.05373121123328997,1.8365685096092827e-5
35,0.9610549276621447,0.9981801283163352,2.5249972955449044e-4,0,0.044982806788569515,2.4303500438923287e-5
36,0.9713158992733569,0.9984689373904339,2.289090592234361e-4,5.731468606757178e-12,0.03595422308836618,3.250822583107995e-5
37,0.9776264013141025,0.9981057179348297,2.086041728802202e-4,0,0.0337656289518402,4.2194657398416794e-5
38,0.9811879747094508,0.9961936556541113,2.1302740543592124e-4,2.0234549729015662e-14,0.03938304243104653,5.189947995057189e-5
39,0.9830537761946362,0.9937473620001065,2.0199851758982546e-4,3.287767380512535e-14,0.04349865424828468,6.257131665019238e-5
40,0.9842622033033256,0.9844641731704002,2.0819684730696812e-4,0,0.04473719586679197,6.871386453874587e-5
41,0.9852160502634993,0.958868765713177,2.0967041151285262e-4,5.608360496184791e-15,0.042839654286201324,7.061665325927332e-5
42,0.9843262900568183,0.8709289770860232,2.669090642177225e-4,0,0.04429848608964896,5.841068801047672e-5
43,0.9747844587617657,0.7056934252600525,3.8138053365265273e-4,4.780605899849212e-16,0.05687765678863456,3.441698432776213e-5
44,0.9551210769083281,0.48194258971430837,5.094902835834339e-4,0,0.07284375326176064,1.914607743061379e-5
45,0.9278099848751666,0.33209675785837434,6.233937520156993e-4,3.06791347297991e-16,0.09234443513944132,1.3530753077634021e-5
46,0.8988584211618987,0.2382534920717937,6.812936470486194e-4,0,0.11700366937954958,1.0538450255030481e-5
47,0.8648072224794928,0.23991601905111218,7.470342575842115e-4,3.742451545006823e-15,0.13584834388350137,9.268906788478857e-6
48,0.8674069445303744,0.3771788241995703,7.595441590358236e-4,0,0.17166237641961524,8.164598273450385e-6
49,0.8552688322823256,0.5465065210158476,7.951973898330379e-4,3.144675602359943e-14,0.18472852197926531,7.911189783999159e-6
50,0.8591266748800926,0.7491325445995906,7.512130980730537e-4,0,0.2015097145867235,8.985102690663774e-6
51,0.8508917206064062,0.9042637016470101,7.330792381983384e-4,0,0.2103795679419741,9.04046666833234e-6
52,0.8290902307095186,0.9740127728133087,6.029828852367029e-4,2.387822433059331e-12,0.19913525916800187,1.1233831278254987e-5
53,0.8147726819457007,0.986947179141479,4.942620218568401e-4,0,0.1573961225156042,1.5396300350307487e-5
54,0.7716584911842967,0.9937821388742678,3.3591771443283486e-4,8.433717555104098e-11,0.10317670893305808,2.580762268251869e-5
55,0.7793660633776386,0.9925156435658484,2.9029588438477444e-4,0,0.06903339142469783,3.963769981023864e-5
56,0.7342013329698189,0.9791870191767303,2.467931328042924e-4,1.7860895082928412e-9,0.04197694709425579,6.193348135917369e-5
57,0.6896008598326504,0.888906365592496,2.3688454806567057e-4,0,0.026881404328683165,8.406580243517944e-5
58,0.5755726416659083,0.6077512953117195,2.272243928442175e-4,2.8851383013351474e-8,0.017884367359534886,1.1393329315924336e-4
59,0.42798974067503925,0.3836002102977728,2.183843319982188e-4,0,0.012385251091481607,1.404016942559952e-4
60,0.24427375191094627,0.3650689401080791,1.9626620251432026e-4,8.025046393154505e-7,0.007039670703640561,2.1950417843525987e-4
61,0.1800928455560398,0.436703116542705,1.691329432369901e-4,1.0312249421581436e-6,0.0042728247003353545,3.2290978214512755e-4
62,0.20233430815349276,0.5319092057836907,1.7678130539285146e-4,9.957268129179121e-7,0.003765440977004968,3.562581546270731e-4
63,0.2509283988771432,0.6564082367652586,1.700431636340257e-4,9.994453059722137e-7,0.003725599983955536,3.8294310436874803e-4
64,0.33563558878706845,0.7557248212893463,1.9059706953699604e-4,1.0165023889856413e-6,0.004217014263734533,3.436245662864002e-4
65,0.4013334718517571,0.8314081092924052,2.0675835377878332e-4,8.719971031449255e-7,0.004717693715049249,3.150905271205904e-4
66,0.434089666056775,0.8867832031221103,2.2649914946626243e-4,0,0.0048832253359607685,2.962053122389477e-4
67,0.451985022256829,0.9281237020671643,2.3821219171808289e-4,3.3846283099620077e-7,0.004793791146922065,2.905977002603878e-4
68,0.3598990039937639,0.9442673008640609,2.341756640335717e-4,1.0826063961170285e-6,0.0035104306171920034,3.6610494878283996e-4
69,0.17120672683219967,0.9578691548887023,1.7775806203633207e-4,1.1677722124633792e-6,0.0014274970154288837,6.340899213922451e-4
70,0.06378412566439351,0.9741458690289145,1.3310734800956624e-4,3.869308650029368e-6,5.260052749914879e-4,0.0014428049120787034
71,0.033937104836558804,0.9726804685510809,1.3434980820190007e-4,5.179665300203982e-6,2.9039615794865595e-4,0.0018066791525999093
72,0.028935261745461113,0.9402614762107583,1.5412115556829074e-4,5.435394352469358e-6,2.774073805653839e-4,0.0017237620348760296
