frame,anger,disgust,fear,happiness,sadness,surprise
1,2.2000000000000003e-5,0.004237,4.9e-5,1.7e-5,2.63e-4,0.001819
2,2.0986057757129922e-5,0.004199059729232122,4.697709381970488e-5,1.801147635326696e-5,2.458684768979929e-4,0.0018976754577517897
3,2.102165004937478e-5,0.004220169129843805,4.701112256561142e-5,1.7994288354826298e-5,2.469991704250901e-4,0.0018952300451055232
4,2.0904349899088583e-5,0.004241601467467486,4.69974795266514e-5,1.8002125741431978e-5,2.449260033525023e-4,0.0019091433868280632
5,1.993405308355267e-5,0.004244196131856036,4.699251087335836e-5,1.7999298980059695e-5,2.460994741052845e-4,0.0019099602359536525
6,1.9979793158195836e-5,0.004235452122682163,4.7042067632525734e-5,1.800021598485194e-5,2.4612525231017826e-4,0.0019111054638867597
7,2.0204708310495555e-5,0.0042317174899802615,4.679233258199201e-5,1.7999936355931886e-5,2.4711135957608977e-4,0.001909219853306479
8,2.108754480253471e-5,0.004230009323261023,4.589799542422495e-5,1.800001816335365e-5,2.469535900265339e-4,0.0019068193277041185
9,2.1041068199399582e-5,0.004224180654372703,4.6028375906313964e-5,1.7999994920839926e-5,2.4707549338776573e-4,0.0019067060977731507
10,2.0667340097485e-5,0.004227363475377635,4.5992274436918045e-5,1.8000001493289776e-5,2.466698304339926e-4,0.0019088067627352704
11,1.989038839821298e-5,0.004234967063681839,4.600204324920502e-5,1.7999999152088067e-5,2.458410781711804e-4,0.001914734541990283
12,2.0028853838151775e-5,0.00423422544209991,4.5999558653860894e-5,1.800000202884483e-5,2.462377439285917e-4,0.0019166324041093674
13,1.9992515203200497e-5,0.004231469336728556,4.5999732002491124e-5,1.7999992317870074e-5,2.4493397493516235e-4,0.001920136547988598
14,2.0001937238307838e-5,0.004229690001725107,4.600156077058039e-5,1.8000029890802155e-5,2.4432129422690926e-4,0.0019223289240507748
15,1.99994102086572e-5,0.004234458321632463,4.599387134266284e-5,1.7999885129673872e-5,2.452005277632035e-4,0.0019261950652450664
16,2.0000535330556988e-5,0.0042323651455537,4.602322247382555e-5,1.800043465640522e-5,2.445126850401038e-4,0.001931430935290571
17,1.9998420483660925e-5,0.004217212320892405,4.5913580173879336e-5,1.799838262214879e-5,2.4275236905533653e-4,0.0019374714357470258
18,2.0005670501869652e-5,0.004209154420293984,4.663968806613784e-5,1.8005907116377193e-5,2.4063991192323344e-4,0.0019499770061993753
19,1.9979757810028155e-5,0.004226693112732742,4.7717233858110744e-5,1.7978889299493725e-5,2.3807028819401453e-4,0.0019720170869615716
20,2.0070433394859676e-5,0.004240467351244736,4.884304458973966e-5,1.8073460813341358e-5,2.326227979744202e-4,0.0020341226045826276
21,1.9235607759937074e-5,0.004258695374239688,4.901828711031667e-5,1.7225431719780573e-5,2.2360506671040354e-4,0.002163832758899934
22,1.8106534864237674e-5,0.0042943889574423195,4.9038132360299215e-5,1.6139099800719496e-5,2.051329619098486e-4,0.002483480012968324
23,1.7928605885627184e-5,0.004344458140784787,4.8868589568135625e-5,1.5129798726507138e-5,1.8631129368077565e-4,0.0028703363623130227
24,1.8947075438418533e-5,0.004387400393012722,5.0142335838076616e-5,1.4025785577028047e-5,0.00017933718747674908,0.0030643048472391746
25,1.9014551224553058e-5,0.004393120382691097,4.4203046563900444e-5,1.4019107338575859e-5,1.722524914868451e-4,0.003426760026396077
26,1.9013016738708393e-5,0.004387918361994075,3.792893617255929e-5,1.3000203668973248e-5,1.6496372734705922e-4,0.0040546709539789
27,2.2225830306419402e-5,0.00437871890951759,2.847663016836242e-5,1.4030918898273645e-5,1.6625693423371932e-4,0.004816103839127668
28,2.7456103987174245e-5,0.004378164123821381,1.8230999358417844e-5,1.4030828006096567e-5,1.711272141044791e-4,0.005997885846739281
29,3.126861460098647e-5,0.0043889416440241425,1.121859121572138e-5,1.517746976283075e-5,1.7430326525569583e-4,0.007771306961551194
30,3.2117712483209906e-5,0.004432741864271248,6.495390614230717e-6,1.60278075842836e-5,1.85735220629179e-4,0.009941715790972245
31,3.149628945822504e-5,0.004578146709881043,4.6005670811508675e-6,1.612439725153466e-5,1.9279019613394527e-4,0.012233186827613757
32,2.8546292473927554e-5,0.004949333006939307,2.613002156880572e-6,1.7278873814948462e-5,2.1398746362321324e-4,0.013299294832979005
33,2.7686269479777105e-5,0.005810607619837395,1.944640483314592e-6,1.8282277831573667e-5,2.148031433194641e-4,0.01443532813696072
34,2.4704079122883907e-5,0.007103852020992183,2.0153157687801957e-6,1.9349815509074912e-5,2.1024159259265622e-4,0.01517670592263652
35,2.359618937059956e-5,0.008301988584712433,1.9958466961747937e-6,2.0312996077943324e-5,1.9676600549714974e-4,0.01631641246058978
36,2.746416551426096e-5,0.009056355188116613,2.001106651459061e-6,2.1730924298208315e-5,1.7362422896542495e-4,0.01819296888952092
37,3.326420381526432e-5,0.008058415832462109,1.99970985116308e-6,2.4077149300717555e-5,1.4078743595276222e-4,0.021296480469071895
38,4.598827073281603e-5,0.00762640901492855,2.0000749103766094e-6,2.8756089928131538e-5,1.049877362532825e-4,0.026797814382106967
39,6.709360107827028e-5,0.00879803427756974,1.999980952606673e-6,3.538406835532906e-5,7.096305626966658e-5,0.03543598860778148
40,1.0485932068869226e-4,0.010912623316449589,2.000004767857276e-6,4.5308757408927644e-5,4.5553837713986696e-5,0.04893875582109852
41,1.753869547371526e-4,0.014221816061648997,1.999998826256869e-6,6.0130357839080275e-5,2.7371071982237878e-5,0.0699504657016107
42,2.710969080025892e-4,0.017868448983200308,2.0000002836937295e-6,7.588642315383848e-5,1.791898253701278e-5,0.09423427201662066
43,3.774259252073256e-4,0.02126967017904445,1.9999999328548295e-6,9.072899917489692e-5,1.2882842155196071e-5,0.11697141178298304
44,4.421656312061685e-4,0.023181164629242718,2.000000015500328e-6,9.872809929593184e-5,1.1142798539032193e-5,0.12990918051720485
45,4.793813647655577e-4,0.024255330899966326,1.9999999965313487e-6,1.0408173834109547e-4,1.0267169700472834e-5,0.13714745908759662
46,5.0385164396067e-4,0.024924874631107888,2.0000000007449955e-6,1.0672069710750221e-4,9.111848613292651e-6,0.1420367651667391
47,5.202109677025456e-4,0.025346767595929253,1.9999999998490883e-6,1.0873273776095705e-4,8.978560649135674e-6,0.1449748895361034
48,5.303311310748333e-4,0.02558326372946058,2.0000000000278343e-6,1.099743893011519e-4,9.00395432825477e-6,0.1463990365132328
49,5.357439500512554e-4,0.025702627131276606,1.9999999999957283e-6,1.0997151623536731e-4,8.999393162588853e-6,0.1469864736979613
50,5.399243394139117e-4,0.025783620954833317,2.0000000000003603e-6,1.1098618384297928e-4,9.000051177911159e-6,0.14750549858696912
51,5.430363551026406e-4,0.025846019463620466,2.00000000000009e-6,1.1099630676475908e-4,9.000012803609598e-6,0.14774248805299764
52,5.440590915584603e-4,0.02590819264318302,1.9999999999999326e-6,1.110055910120735e-4,8.9999904285151e-6,0.14857195640810864
53,5.450318261395258e-4,0.025998485311519846,2.0000000000000287e-6,1.1097925283535477e-4,9.000003963996972e-6,0.14890215128435264
54,5.450705289369254e-4,0.02603747866199274,1.999999999999986e-6,1.1110991123808336e-4,8.999998625182065e-6,0.14957075420845056
