frame,anger,disgust,fear,happiness,sadness,surprise
1,1e-6,9.499999999999999e-5,0,0.999293,0,0.024363000000000003
2,1e-6,5.522933725404091e-5,0,0.9992832265440179,0,0.023794441925348526
3,1e-6,4.802300504120418e-5,1.026653414495664e-33,0.9992881500771247,5.155673806555948e-33,0.023834230227683696
4,1e-6,5.0118031892360684e-5,0,0.9992920207155038,0,0.02396337075856361
5,1e-6,4.724836436312303e-5,0,0.9992865242109917,0,0.023847319895228574
6,1e-6,4.449524962867658e-5,1.435626660952743e-32,0.999279287665375,7.209465889229452e-32,0.02361118702411546
7,1e-6,4.396585761659809e-5,0,0.9992750584192484,0,0.023596891402300695
8,1e-6,4.381115452868166e-5,6.311267916717063e-32,0.9992722206840076,3.1694083149140997e-31,0.023634778486615843
9,1e-6,4.220816411930583e-5,1.0140602096269584e-31,0.9992683705808413,5.092432935230276e-31,0.02340409705416265
10,1e-6,4.1200528420980474e-5,0,0.9992668301871809,0,0.02319340085911568
11,1e-6,4.0879086039756956e-5,2.128916558132601e-30,0.9992643755409383,1.06910464428732e-29,0.02302271330645023
12,1e-6,4.1083765336899595e-5,0,0.9992633359715342,0,0.023030188410145192
13,1e-6,4.186544890402361e-5,0,0.9992681951551811,0,0.023340673223454168
14,1e-6,4.219216723808843e-5,3.9551568665753265e-29,0.9992694281926755,1.986210572127643e-28,0.023484699648455704
15,1e-6,4.16779694108679e-5,0,0.9992664698577568,0,0.023441277999904607
16,1e-6,4.0967674968913744e-5,5.793620126735008e-29,0.9992627075049513,2.9094546524463136e-28,0.02331684267065786
17,1e-6,4.0958662267603614e-5,4.47584402227555e-28,0.9992601724879049,2.247690550877092e-27,0.02312909152827015
18,1e-6,4.103191448287373e-5,0,0.9992606328725725,0,0.023053795069746225
19,1e-6,4.097639218914496e-5,4.209078485661592e-27,0.9992605214090577,2.113725566180864e-26,0.023111661447090183
20,1e-6,4.100198320347836e-5,0,0.9992579686511417,0,0.0232225408765715
21,1.0000000000000002e-6,4.110550874939481e-5,0,0.9992560071773686,0,0.02330375511568665
22,9.999999999999995e-7,4.0491039338880544e-5,9.833989389855972e-26,0.9992520781973118,4.93845739909568e-25,0.023253718022354406
23,1.0000000000000008e-6,3.995549004687729e-5,0,0.9992481613498736,0,0.023089202489781857
24,1.0000000000000004e-6,4.001651697050651e-5,0,0.9992479105236335,0,0.022903165443461024
25,9.999999999999928e-7,3.9290653019353996e-5,1.4469376887873013e-24,0.9992503017790076,7.266267891841506e-24,0.022790977733062438
26,1.0000000000000239e-6,3.8884425748434265e-5,0,0.9992509312075449,0,0.02288804966378716
27,9.999999999999652e-7,3.902513808285367e-5,6.86563185674421e-24,0.9992497855466228,3.447800185485256e-23,0.0230693332634016
28,9.999999999999523e-7,3.9008476684370155e-5,9.459716831827897e-24,0.9992491215103786,4.750504269374103e-23,0.023120899255495767
29,1.000000000000391e-6,3.896590444898937e-5,0,0.9992479817603462,0,0.023088084186570147
30,9.999999999988814e-7,3.908294721517396e-5,2.2173498639570304e-22,0.9992488990437477,1.1135143030902512e-21,0.023026730533040867
31,1.0000000000012216e-6,3.8909713706988355e-5,0,0.9992498433282788,0,0.022930489575535312
32,1.0000000000034995e-6,3.811433661024501e-5,0,0.999247338276004,0,0.022799683344811222
33,9.99999999979653e-7,3.7885276462736236e-5,4.033794866189126e-21,0.9992472167352365,2.0257011995472182e-20,0.022768037242087234
34,1.0000000000509477e-6,3.810059605310112e-5,0,0.9992483518020087,0,0.02290670361198698
35,9.999999999648913e-7,3.794712937119642e-5,6.960331985731717e-21,0.9992453763477298,3.4953569332255056e-20,0.02296827831719502
36,9.999999997772256e-7,3.7154182310454985e-5,4.4165136253691746e-20,0.9992373202028677,2.2178958636979694e-19,0.022678424966295904
37,1.0000000010318462e-6,3.690684317960525e-5,0,0.9992358041605155,0,0.022544034899609742
38,9.999999977572945e-7,3.7027993737125075e-5,4.446178072786521e-19,0.9992346313431921,2.232792830130474e-18,0.02239182465908972
39,1.0000000004861848e-6,3.6998870097506456e-5,0,0.9992299435537728,0,0.022098760180354626
40,1.0000000131232476e-6,3.698934864259796e-5,0,0.9992312252904119,0,0.022084823886486103
41,9.999999489188384e-7,3.7029151511685394e-5,1.0126873042430652e-17,0.9992324342468452,5.0855384446196454e-17,0.02231288618255214
42,1.0000000945251707e-6,3.694910945625168e-5,0,0.9992318344823926,0,0.022670439848162745
43,1.0000000347664563e-6,3.698142957364977e-5,0,0.999233783072346,0,0.022933615973287018
44,9.99999265259562e-7,3.7745467587624976e-5,1.4566276343147614e-16,0.9992416471844411,7.314929102759919e-16,0.02283144646516216
45,1.0000024688747612e-6,3.808233508745463e-5,0,0.999248707006986,0,0.022840516344348465
46,9.999962476055568e-7,3.801341291429656e-5,7.439146068804235e-16,0.9992512520224802,3.735808987585036e-15,0.023024469016831205
47,9.99995604560274e-7,3.803723733881979e-5,8.713987469167243e-16,0.9992502671870827,4.3760120320168794e-15,0.023085622273733224
48,1.0000396219816066e-6,3.734943536565211e-5,0,0.9992472906095318,0,0.02300835976436599
49,9.998836413142363e-7,3.681234540180301e-5,2.3068184138619457e-14,0.9992451575177407,1.1584438433559812e-13,0.023010060238010395
50,1.00013577847796e-6,3.711098361089605e-5,0,0.9992466224678165,0,0.023143143358624597
51,1.0003370890072734e-6,3.7888308389817406e-5,0,0.9992526170586037,0,0.023240726320602593
52,9.979269722319329e-7,3.819093264986198e-5,4.109790856129685e-13,0.9992594765499754,2.063865055938063e-12,0.02318185934732523
53,1.0053327613689522e-6,3.764252085105125e-5,0,0.9992549369693898,0,0.02320731800305297
54,9.958708871332855e-7,3.696895154289293e-5,8.185992761386771e-13,0.9992623535226559,4.110862328478297e-12,0.02329033852672576
55,9.78083818238721e-7,3.701940663500221e-5,4.344897101294847e-12,0.9992769541604392,2.1819312984344356e-11,0.02314055553575231
56,1.1056515982046229e-6,3.6588006944148946e-5,0,0.9991707816069554,0,0.0229475038944221
57,7.383670574565705e-7,3.554782451612654e-5,4.688575967165858e-11,0.9994336553476123,2.3545208112748984e-10,0.02230922586891819
58,0,3.39110395895803e-5,0,0.9991240652499855,0,0.02070741297852864
59,0,3.110498008954806e-5,0,0.9980040320177119,0,0.017980275418423397
60,2.4531696460646603e-8,2.7264240549249528e-5,1.0418532325816894e-9,1,5.232004633360861e-9,0.014210920083795755
61,0,2.2221410795529073e-5,0,0.9899236318847647,0,0.010298774448649274
62,7.645036945128266e-10,2.0861758845275573e-5,0,0.9945459146204095,0,0.007119671531468198
63,0,2.8408540810401378e-5,1.4642102024310114e-8,1,7.353007433062444e-8,0.004795213213401541
64,2.0179249248857599e-7,3.0726478604464644e-5,4.3314473001567397e-8,0.6601105349654086,0,0.0035039783419291036
65,1.5001418589691512e-6,2.1683241960730168e-4,1.7807117532265376e-6,0.13366787302650884,2.1885614962541113e-6,0.002912528578159692
66,4.604331002225269e-6,8.415965955903279e-4,8.062684156695294e-6,0.003126456050833365,1.801070069955381e-5,0.0025277944771048273
67,9.44407216174685e-6,0.0018839774872084704,2.0130955611105138e-5,0,6.330409447702465e-5,0.0023083643531199276
68,1.522789161152685e-5,0.0027515898990639618,3.214419806146435e-5,9.150404381814072e-4,1.2633779980712956e-4,0.002182125350203766
69,2.1109778614858105e-5,0.002987388779668743,4.0249700269597355e-5,0,1.770448765882386e-4,0.00210377714721796
70,2.8991366229747836e-5,0.0025690338256121634,4.460516584380141e-5,0,1.9161363955852526e-4,0.002064903383237493
71,4.515874864744541e-5,0.0018320000091940126,4.593181836457992e-5,6.705836957928136e-5,1.7933362001004246e-4,0.002035465564629438
72,6.68676264335927e-5,0.0012006639095597585,4.6003633231154795e-5,2.3036326870213087e-6,1.6030551716177834e-4,0.0020120874144204342
73,1.030791780443087e-4,8.122481442970643e-4,4.59999232878641e-5,2.098052699633165e-5,1.439953039925098e-4,0.0020015364542969134
74,1.5517494144511593e-4,5.494237701420123e-4,4.6001557059770323e-5,1.9622971252836115e-5,1.2934659250830605e-4,0.002001009957111274
75,1.6485443362732497e-4,4.80065873514472e-4,4.599058105526699e-5,1.688540857903268e-5,1.2474506244313947e-4,0.0019917300236914452
76,1.2328284315837434e-4,7.175964213974182e-4,4.602220361653904e-5,1.8340975443474123e-5,1.40207319591494e-4,0.0019852208507927386
77,7.320015307378991e-5,0.0011115423648456427,4.599073187945178e-5,1.7979084076820693e-5,1.6499122449970522e-4,0.0019869314890708038
78,6.077859636364433e-5,0.0013242520447306779,4.5883674665607636e-5,1.79586240921309e-5,1.7475583806093246e-4,0.0019830418285398887
79,5.507491552534955e-5,0.0015107455245688415,4.662006167144769e-5,1.8023174107076694e-5,1.8492841085351305e-4,0.0019877288225613678
80,4.6518271819172284e-5,0.001729767795462489,4.687921691994856e-5,1.7993858975066245e-5,1.9621405618274273e-4,0.0019939229613162397
81,4.204381994165076e-5,0.00192664564278105,4.600826052201291e-5,1.7999890114911847e-5,2.019452325837775e-4,0.0019900933640494218
82,3.9150945758622414e-5,0.0020872974781568424,4.592544533167816e-5,1.8000991882659764e-5,2.0590934079401835e-4,0.0019833496277522284
83,3.568278179506159e-5,0.002295180455868554,4.603535406932473e-5,1.7999529645975168e-5,2.1286264240195544e-4,0.001982089951620756
84,3.2145635686350873e-5,0.002512906416348047,4.599207201605582e-5,1.8000105474680233e-5,2.1912284175785505e-4,0.00198083662667464
85,3.0089963542135754e-5,0.0026651374281274564,4.599897378623753e-5,1.80000136528491e-5,2.2085804843462037e-4,0.0019743760076282517
86,2.9438048065506292e-5,0.0027962661237006183,4.6001706906101725e-5,1.7999977291152892e-5,2.2358880562720553e-4,0.001972577413056655
87,2.788469349443305e-5,0.0029506176890605734,4.599929943000742e-5,1.800000932045227e-5,2.26552738489962e-4,0.0019698080067941373
88,2.560849704424882e-5,0.0031466349610370804,4.600012690532386e-5,1.7999998311639056e-5,2.2983389535822835e-4,0.0019653298772558244
