frame,anger,disgust,fear,happiness,sadness,surprise
1,2.1e-5,0.0042699999999999995,4.4999999999999996e-5,1.8e-5,2.42e-4,0.001936
2,2.113565993130476e-5,0.0042780719231221,4.4999999999999996e-5,1.8e-5,2.4100299030226904e-4,0.0019526096091776295
3,2.1851111529612526e-5,0.0042770428227953995,4.4999999999999996e-5,1.8e-5,2.4084045138876017e-4,0.001944406955356408
4,2.1210929766895658e-5,0.004277910518723067,4.4999999999999996e-5,1.8e-5,2.3989346334874373e-4,0.001946144438102292
5,2.1755541143444044e-5,0.0042766510757533665,4.4999999999999996e-5,1.8e-5,2.4002945304417566e-4,0.0019471530687380177
6,2.0864641758988242e-5,0.00427485230183084,4.4999999999999996e-5,1.8e-5,2.3999266738449978e-4,0.0019487960715381047
7,2.1030398726004017e-5,0.004274137530252132,4.4999999999999996e-5,1.8e-5,2.4000165639581232e-4,0.0019479314988118056
8,2.0994509148182605e-5,0.0042719275008976845,4.4999999999999996e-5,1.8e-5,2.399996661442667e-4,0.001947360186088348
9,2.0998985947657323e-5,0.00427000474630179,4.4999999999999996e-5,1.8e-5,2.4000005671453282e-4,0.0019462221997894795
10,2.100432982815416e-5,0.00427005428042849,4.4999999999999996e-5,1.8e-5,2.399999933678993e-4,0.0019449971523266105
11,2.100220996028375e-5,0.004268997707384318,4.4999999999999996e-5,1.8e-5,2.3999999982904626e-4,0.0019460037370334067
12,2.089514321044643e-5,0.004268822413261308,4.4999999999999996e-5,1.8e-5,2.4000000041875396e-4,0.001946167598047703
13,2.0087396812597083e-5,0.004267032102673687,4.4999999999999996e-5,1.8e-5,2.399999998254156e-4,0.0019480213127077537
14,2.1133261505630327e-5,0.004267903113660305,4.4999999999999996e-5,1.8e-5,2.400000000549323e-4,0.0019467718780933323
15,2.096358133592092e-5,0.00426673518760576,4.4999999999999996e-5,1.8e-5,2.3999999998498971e-4,0.0019474264852816256
16,2.1008989158196862e-5,0.004267664306293542,4.4999999999999996e-5,1.8e-5,2.4000000000369624e-4,0.0019481621868711163
17,2.0997952390481203e-5,0.004267410890111513,4.4999999999999996e-5,1.8e-5,2.3999999999919236e-4,0.0019474526523687366
18,2.100054006901312e-5,0.004267018719324153,4.4999999999999996e-5,1.8e-5,2.4000000000009406e-4,0.0019461909135940615
19,2.099951231669572e-5,0.00426618208446439,4.4999999999999996e-5,1.8e-5,2.400000000001837e-4,0.0019459790896477875
20,2.1000859560398996e-5,0.004265938038955377,4.4999999999999996e-5,1.8e-5,2.3999999999957627e-4,0.0019459880770717434
21,2.100095111063772e-5,0.004267010414272226,4.4999999999999996e-5,1.8e-5,2.399999999995242e-4,0.001947045227976739
22,2.0975912332303903e-5,0.004267009687070972,4.4999999999999996e-5,1.8e-5,2.4000000001205904e-4,0.0019489460276337293
23,2.1187076303149714e-5,0.004266813148536144,4.4999999999999996e-5,1.8e-5,2.3999999991183412e-4,0.0019465946841237943
24,2.210586631847683e-5,0.004265924620288566,4.4999999999999996e-5,1.8e-5,2.4000000048795688e-4,0.0019459211266537049
25,2.197140192164629e-5,0.004265874472053364,4.4999999999999996e-5,1.8e-5,2.3999999766857727e-4,0.0019462909398036228
26,2.200694834116822e-5,0.004266947208416148,4.4999999999999996e-5,1.8e-5,2.4000001001807971e-4,0.001947941138176004
27,2.199860086814432e-5,0.004268818996543992,4.4999999999999996e-5,1.8e-5,2.3999996092951138e-4,0.0019504636569397573
28,2.1999791617594434e-5,0.004269380951967731,4.4999999999999996e-5,1.8e-5,2.400001361444966e-4,0.0019509921020640813
29,2.2001446242813383e-5,0.004274060149810648,4.4999999999999996e-5,1.8e-5,2.3999960199184452e-4,0.0019518404551712638
30,2.1997208843104424e-5,0.0042788033136228676,4.4999999999999996e-5,1.8e-5,2.4000074425660717e-4,0.0019520286544647883
31,2.199467166535235e-5,0.004281059538802181,4.4999999999999996e-5,1.8e-5,2.4000141841440552e-4,0.0019520279399678102
32,2.2099141678274266e-5,0.004281739552294252,4.4999999999999996e-5,1.8e-5,2.3997421323418959e-4,0.0019543867579507697
33,2.3103553525880915e-5,0.004276866134766694,4.4999999999999996e-5,1.8e-5,2.4019356763782496e-4,0.001955717115030233
34,2.2918662894076355e-5,0.004273360514632178,4.4999999999999996e-5,1.8e-5,2.4112719983654978e-4,0.00195392372720527
35,2.3338891007041378e-5,0.0042702206165017055,4.4999999999999996e-5,1.8e-5,2.4087381275750947e-4,0.0019559405001518143
36,2.4635882389033366e-5,0.004267319125394509,4.4999999999999996e-5,1.8e-5,2.4157616576356888e-4,0.0019576389984401832
37,2.505761963442842e-5,0.004265661144178415,4.4999999999999996e-5,1.8e-5,2.4197072195653122e-4,0.0019585056519707453
38,2.498935334881233e-5,0.004264951348952133,4.4999999999999996e-5,1.8e-5,2.4275095426982325e-4,0.001960134188520221
39,2.500029110481877e-5,0.004264245745043894,4.4999999999999996e-5,1.8e-5,2.4305040293529003e-4,0.0019573586119124293
40,2.500233027190386e-5,0.004262988251820286,4.4999999999999996e-5,1.8e-5,2.4297146532693798e-4,0.00195787987800935
41,2.5007329384023274e-5,0.004264008550927584,4.4999999999999996e-5,1.8e-5,2.4405057060287286e-4,0.0019601166754516118
42,2.4889887223798815e-5,0.004262794994591754,4.4999999999999996e-5,1.8e-5,2.450530971849541e-4,0.001963197124259627
43,2.3908214246013538e-5,0.004261968711232394,4.4999999999999996e-5,1.8e-5,2.4496617881184846e-4,0.001962798110359414
44,2.400735414840039e-5,0.004261814202472773,4.4999999999999996e-5,1.8e-5,2.450852437265195e-4,0.0019614442399824225
45,2.4091959630923482e-5,0.004260273017568319,4.4999999999999996e-5,1.8e-5,2.445392034949145e-4,0.001958859026341094
46,2.342000854552763e-5,0.004261023953388568,4.4999999999999996e-5,1.8e-5,2.440108611810339e-4,0.0019582101585786716
47,2.3030680271459428e-5,0.004262226636319875,4.4999999999999996e-5,1.8e-5,2.4334924460192237e-4,0.0019558681516372188
48,2.2232913755795916e-5,0.0042617672405605295,4.4999999999999996e-5,1.8e-5,2.4294247698736603e-4,0.001955757871195966
49,2.1966919803891943e-5,0.004263783591551171,4.4999999999999996e-5,1.8e-5,2.4300737156116134e-4,0.001954433791503636
50,2.2002622751037265e-5,0.004263993769985788,4.4999999999999996e-5,1.8e-5,2.4300153979872182e-4,0.0019520541625735125
51,2.2000425551818294e-5,0.00426505512471652,4.4999999999999996e-5,1.8e-5,2.4300977401454655e-4,0.0019508860937650831
52,2.2001816497369727e-5,0.00426621532856356,4.4999999999999996e-5,1.8e-5,2.428731145299757e-4,0.0019476785563903895
53,2.198562527953947e-5,0.00426676011875496,4.4999999999999996e-5,1.8e-5,2.419566027115534e-4,0.0019469620908113766
54,2.207628082903794e-5,0.004266488212723127,4.4999999999999996e-5,1.8e-5,2.4169975711825313e-4,0.0019470820001542708
55,2.1553715885990785e-5,0.004268518115570993,4.4999999999999996e-5,1.8e-5,2.4088758608726288e-4,0.0019465578645588874
56,2.090712243783092e-5,0.004270096603346253,4.4999999999999996e-5,1.8e-5,2.410266729685096e-4,0.001945882577562798
57,2.101989709251447e-5,0.0042716871315702865,4.4999999999999996e-5,1.8e-5,2.4099428663973925e-4,0.0019461142736949776
58,2.0996266953455408e-5,0.004273350193574736,4.4999999999999996e-5,1.8e-5,2.410010693532082e-4,0.0019452459724479702
59,2.1000575641517016e-5,0.004276650525162124,4.4999999999999996e-5,1.8e-5,2.4099984201794751e-4,0.0019448593231394652
60,2.099992935426405e-5,0.004277997714364434,4.4999999999999996e-5,1.8e-5,2.4100001082673974e-4,0.0019460308399743007
61,2.0999770370191446e-5,0.004278041898696066,4.4999999999999996e-5,1.8e-5,2.4100000366621686e-4,0.0019439790632494833
62,2.1002389746323803e-5,0.0042790483327609895,4.4999999999999996e-5,1.8e-5,2.409999978429525e-4,0.0019449595591793923
63,2.098485821729183e-5,0.004279176487879171,4.4999999999999996e-5,1.8e-5,2.4100000075681633e-4,0.0019440909696004647
