frame,anger,disgust,fear,happiness,sadness,surprise
1,0,3.5000000000000004e-5,0,0.7263639999999999,2e-6,0.0016220000000000002
2,0,1.7547327816924884e-5,0,0.9465538042685067,9.998447640288302e-7,0.0018485884660581395
3,3.0072460765311317e-10,1.0768481082649177e-5,5.936208762042337e-54,0.987422485818681,9.457026200225481e-7,0.0019719134194223866
4,0,9.987230278688595e-6,0,0.9938128552305175,0,0.0025134139681152416
5,8.891162727978103e-9,1.1654159616146967e-5,1.7550874370563492e-52,0.9955310581777391,2.075018820699577e-8,0.003298492954964631
6,0,1.6734435854078526e-5,0,0.997875266824005,0,0.005992663601030657
7,2.0779462354838459e-7,2.1963262274483117e-5,3.82056589635262e-51,0.9984430649105633,1.883820311300721e-9,0.009462301014892368
8,1.1019686121220425e-6,3.0673855798779616e-5,0,0.9989280742337896,0,0.01439954196349083
9,9.716326997536322e-7,3.4023818707853833e-05,7.18012420477805e-50,0.9990311793972931,1.4951426055777896e-10,0.01682097238774032
10,1.0077290638646269e-6,3.652802881370696e-5,0,0.9991459018832648,0,0.019159992043463366
11,9.979318582988247e-7,3.744504567156318e-5,1.2298735750072571e-48,0.9991698974115457,1.0900461957760798e-11,0.019849993848190337
12,1.0005443789207583e-6,3.800355316802898e-5,0,0.9992009863067001,0,0.02064198784769562
13,9.998589154621436e-7,3.845709966637119e-5,1.963325611049329e-47,0.9992156951147232,7.436079630609344e-13,0.021073377775844854
14,1.0000360111707953e-6,3.9103630019572903e-5,0,0.9992191835564179,0,0.021182984091529397
15,9.999909498359358e-7,3.897413989223637e-5,2.945336982084275e-46,0.9992234479868692,4.770029492505519e-14,0.021361530421254778
16,1.0000022375439994e-6,3.900569838783764e-5,0,0.9992009867281038,0,0.020860535704340436
17,9.999994565867896e-7,3.900120320112496e-5,4.147101784373564e-45,0.999209674714466,2.864143701239099e-15,0.02110307043548238
18,1.0000001293325268e-6,3.8990263720265445e-5,0,0.9992252856879744,0,0.021515490548743618
19,9.999999699427944e-7,3.9036039480339927e-5,5.412973158314301e-44,0.9992131524167138,1.5842116903200212e-16,0.02129448125499883
20,1.000000006783718e-6,3.887430855575442e-5,0,0.999219262471746,0,0.021423881459790524
21,9.9999999852613e-7,3.995017262729153e-5,6.330632107111038e-43,0.9992332918361695,7.768260637599387e-18,0.021783122457798
22,1.000000000303663e-6,3.907723635170232e-5,0,0.9992308235787516,0,0.0217075791374477
23,9.999999999423702e-7,3.988897663900016e-5,6.001787578347692e-42,0.9992366651641953,3.03747030907861e-19,0.021906160415153204
24,1.0000000000094033e-6,4.001860785326748e-5,0,0.9992137750347428,0,0.021354299503951752
25,9.999999999989774e-7,3.999674331056372e-5,2.647250144660651e-41,0.9992046364420224,5.389477387940762e-21,0.021189842373431654
26,9.999999999999144e-7,3.999808097346834e-5,3.5329809564270075e-41,0.9992240931171286,4.50469498051458e-22,0.02173180747726051
27,1.0000000000001065e-6,4.003515410661914e-5,0,0.9992185852582379,0,0.021627703350669592
28,9.999999999999523e-7,4.1047220017432104e-5,4.941006740021309e-39,0.9992083120758559,2.5138743433879477e-22,0.021397128526669026
29,1.0000000000000171e-6,4.099147268929536e-5,0,0.9991891265869489,0,0.021082893243007873
30,9.999999999999944e-7,4.0960593374041404e-5,1.393826683080423e-37,0.999191902285258,2.9093290896206486e-23,0.021277154806194732
31,1.0000000000000016e-6,4.1220256736942505e-5,0,0.9991861630567825,0,0.02120663617996647
32,9.999999999999995e-7,4.187867316676884e-5,2.9635596505947374e-36,0.9991862929957296,2.5845239649645975e-24,0.02120931698073386
33,1.0000000000000002e-6,4.087362212652705e-5,0,0.9991849034640865,0,0.02136024545769369
34,1e-6,4.101686376719332e-5,5.494392088162456e-35,0.9991767790837294,2.0260594114504642e-25,0.021220343999644575
35,1e-6,4.1070675441437656e-5,0,0.9991591969801977,0,0.020857519982836976
36,1e-6,4.060315167586987e-5,9.320864360676206e-34,0.9991574109255742,1.4639423749277638e-26,0.020840617580769053
37,1e-6,3.989673609270542e-5,0,0.9991794068576113,0,0.021370955960701554
38,1e-6,4.001816223913655e-5,1.4760753655413568e-32,0.999138977164,9.908220468478967e-28,0.020535513982129765
39,1e-6,4.002842380429879e-5,0,0.9991150879102149,0,0.020099917561468977
40,1e-6,3.9866365630940056e-5,2.1974653531606837e-31,0.999135088359022,6.104435142555903e-29,0.020497208243704077
41,1e-6,4.074365400967826e-5,0,0.9991836106339362,0,0.021587810474868824
