frame,anger,disgust,fear,happiness,sadness,surprise
1,2e-5,0.004261,4.6e-5,1.8e-5,2.46e-4,0.001898
2,2.000077197838619e-5,0.004256946415250445,4.607388041689113e-5,1.799895520860064e-5,2.4213985227917e-4,0.0019178772729410332
3,1.9996336611658282e-5,0.004244386365135336,4.5154150783358694e-5,1.8004958010095152e-5,2.4132744453093173e-4,0.0019108752035481393
4,2.0016337869845833e-5,0.004228257236594115,4.4839652316136276e-5,1.797788841474806e-5,2.3903257835505227e-4,0.0020051676242220577
5,1.9419555358552665e-5,0.004234552474719961,4.44207550735111e-5,1.7830327447738775e-5,2.382069197529165e-4,0.001799571922430932
6,1.3665436677047658e-5,0.00423759371181752,2.9141524398454488e-5,1.4151083268851777e-5,1.9941882789871235e-4,0.00402462364650856
7,4.367276140330495e-6,0.004226062821374388,2.9049953361191718e-6,7.860231465980966e-6,1.3064534805429077e-4,0.008278605039705407
8,0,0.004215178122639363,0,2.00534801780393e-6,6.658865277831404e-5,0.01224728257010314
9,0,0.004205569218782589,0,0,8.563349228519617e-6,0.015841953839572417
10,0,0.0041971836100320485,0,0,0,0.01907546341342002
11,0,0.004189968796615721,0,0,0,0.021960655856952734
12,0,0.004183872278761588,0,0,0,0.024510375735477357
13,0,0.0041788415566976315,0,0,0,0.02673746761430066
14,0,0.004174824130651834,0,0,0,0.02865477605872944
15,0,0.004171767500852174,0,0,0,0.030275145634070473
16,0,0.004169619167526635,0,0,0,0.03161142090563056
17,0,0.004168326630903198,0,0,0,0.032676446438716464
18,0,0.004167837391209843,0,0,0,0.03348306679863499
19,0,0.004168098948674553,0,0,0,0.034044126550692916
20,0,0.004169058803525309,0,0,0,0.034372470260197026
21,0,0.004170664455990092,0,0,0,0.03448094249245411
22,0,0.004172863406296883,0,0,0,0.034382387812770955
23,0,0.004175603154673664,0,0,0,0.034089650786454345
24,0,0.004178831201348415,0,0,0,0.03361557597881107
25,0,0.00418249504654912,0,0,0,0.03297300795514791
26,0,0.004186542190503757,0,0,0,0.03217479128077164
27,0,0.004190920133440311,0,0,0,0.03123377052098906
28,0,0.004195576375586759,0,0,0,0.03016279024110697
29,0,0.0042004584171710865,0,0,0,0.028974695006432124
30,0,0.004205513758421272,0,0,0,0.027682329382271328
31,0,0.004210689899565298,0,0,0,0.026298537933931363
32,0,0.0042159343408311465,0,0,0,0.024836165226719015
33,0,0.004221194582446797,0,0,0,0.023308055825941094
34,0,0.004226418124640232,0,0,0,0.021727054296904316
35,0,0.004231552467639433,0,0,0,0.02010600520491555
36,0,0.004236545111672381,0,0,0,0.018457753115281517
37,0,0.0042413435569670565,0,0,0,0.016795142593309054
38,0,0.004245895303751442,0,0,2.125075594445512e-5,0.015131018204304916
39,0,0.004250147852253519,0,4.956073377016734e-7,4.814297750123275e-5,0.013478224513575872
40,0,0.004254048702701268,0,2.9499454568341793e-6,7.466497567226548e-5,0.011849606086428774
41,2.8613167248680276e-6,0.00425754535532267,0,5.354277121396212e-6,1.006102467442665e-4,0.010258007488170337
42,6.267590920153275e-6,0.004260585310345708,2.1560429088837057e-6,7.689834475112058e-6,1.2577228700394704e-4,0.008716273284107371
43,9.52890405163243e-6,0.004263116067998361,1.1352866312712043e-5,9.937849661706022e-6,1.499445927380196e-4,0.007237248039546689
44,1.261674475865846e-5,0.004265085128508613,2.0086468349028146e-5,1.2079554824902414e-5,1.7292066023319577e-4,0.00583377631979505
