frame,anger,disgust,fear,happiness,sadness,surprise
1,5e-5,0.004216,6.990000000000001e-4,1.8e-5,1.0200000000000001e-4,0.0025879999999999996
2,2.5495978076269124e-5,0.0042507456093146545,9.314040126989645e-5,1.8e-5,1.8979400884716938e-4,0.0021320432395437643
3,5.182085976389845e-5,0.004248289960455021,8.650007060993384e-4,1.8e-5,9.612858814590256e-5,0.002612582951879746
4,5.222119589730285e-5,0.004248678863432213,8.59739856652298e-4,1.8e-5,9.354215740212487e-5,0.0026440103038393925
5,3.836534639691788e-5,0.00425171809335152,3.6543753496233314e-4,1.8e-5,1.2833934480537524e-4,0.0024075720870257826
6,3.164846458244293e-5,0.004252406371432269,2.0002942788877018e-4,1.8e-5,1.5453634317340689e-4,0.002292242079939151
7,2.746704881566045e-5,0.004247816656553832,1.3489074718954383e-4,1.8e-5,1.8387150300633158e-4,0.0022068566522298457
8,2.6903287016041183e-5,0.00424587170294214,1.2640869760182524e-4,1.8e-5,1.8555806266757507e-4,0.0021953077152025336
9,2.6854141338192205e-5,0.004246802155888609,1.2607352110615436e-4,1.7999999999999994e-5,1.821855666105736e-4,0.0021813973232418923
10,2.8503342841339073e-5,0.004247460177828497,1.4550373150862083e-4,1.800000000000002e-5,1.7268357779162905e-4,0.002208714304543039
11,2.9149151305497674e-5,0.004250433714725982,1.5370573178874423e-4,1.7999999999999923e-5,1.68979797207421e-4,0.0022208845848221896
12,2.8907023302024386e-5,0.004249838491341588,1.4638979358880093e-4,1.80000000000003e-5,1.719801873454347e-4,0.0022072991544539646
13,2.921200479903838e-5,0.004248693127440785,1.473326753832e-4,1.799999999999887e-5,1.706510303309382e-4,0.0022069130052309685
14,2.7803103306276326e-5,0.00424940332467871,1.2694200928415082e-4,1.8000000000004222e-5,1.8048355634254064e-4,0.00217319540704584
15,2.6425101069366572e-5,0.004247147279196417,1.0982083514326539e-4,1.7999999999984388e-5,1.890792259065699e-4,0.002147209835344811
16,2.492512422520954e-5,0.004246130108893916,9.788984066553505e-5,1.8000000000057246e-5,1.97365911423166e-4,0.0021221490301016
17,2.3399863566484205e-5,0.004247841461306211,7.831007602780927e-5,1.7999999999791932e-5,2.101991196804238e-4,0.002070006294213942
18,2.2465058050848497e-5,0.004247295391377901,6.875857345526131e-5,1.8000000000749814e-5,2.1938366478013136e-4,0.0020405502278446263
19,2.191636962643435e-5,0.004244944350264916,6.545004295507308e-5,1.7999999997321157e-5,2.2470538586132877e-4,0.0020308978096959434
20,2.1999064503543197e-5,0.004246699378713418,6.372565195011078e-5,1.8000000009485733e-5,2.242264593182694e-4,0.0020228210781310222
21,2.208355120394144e-5,0.004251816644381383,6.405383419937393e-5,1.799999996672414e-5,2.2287807459364442e-4,0.0020213456916927343
22,2.1640262018042123e-5,0.004252642649449806,6.138798842747932e-5,1.8000000115566553e-5,2.2795134340018803e-4,0.0020139260937635317
23,2.0965144144561633e-5,0.004252507373635301,5.664357285348708e-5,1.7999999603016055e-5,2.364458553348763e-4,0.0020031614188693466
24,2.075547426017496e-5,0.0042495766132872965,5.458271925602214e-5,1.8000001347085736e-5,2.4147155234458215e-4,0.00200131837674281
25,1.9892075944875848e-5,0.004244212196809394,5.380203821376763e-5,1.7999995492464522e-5,2.464545900363886e-4,0.002003255293727651
26,2.0027592408115747e-5,0.004248350296968846,5.257551343936501e-5,1.8000014837299247e-5,2.5089822256019596e-4,0.0019990420205040806
27,1.9992851255853206e-5,0.004246878295567829,5.0595772720819005e-5,1.7999952119669366e-5,2.535117737790694e-4,0.0019906745715268293
28,2.0002503028340047e-5,0.004248338257597858,5.017987154170124e-5,1.8000150718619656e-5,2.535214083273714e-4,0.00198742414302178
29,1.9997111014995308e-5,0.004248879763832345,5.084512942180709e-5,1.799954078582746e-5,2.525506977705106e-4,0.0019786472417234685
30,2.000733573197785e-5,0.004248049968798416,4.885840778978614e-5,1.8001336869838396e-5,2.5984014757771194e-4,0.001965475401533734
31,1.9980308076967286e-5,0.004248985060998589,4.902941009933126e-5,1.7996369767761283e-5,2.630758268413277e-4,0.0019666709986298067
32,2.004744949890689e-5,0.004247983900756961,4.89962235483481e-5,1.800871425117875e-5,2.630318900402545e-4,0.0019515694735048696
33,2.100899505789203e-5,0.004247951925095757,4.8997348180565216e-5,1.798437886543473e-5,2.661949281757735e-4,0.0019240645300217785
34,2.1e-5,0.004243,4.9e-5,1.7e-5,2.78e-4,0.001885
35,2.2938160397947196e-5,0.004233271517631559,4.995527092267089e-5,1.6025193210606026e-5,3.0126071935374505e-4,0.001806172067463357
36,2.4822596765974446e-5,0.004229729735899894,5.184215870213523e-5,1.5089282787952918e-5,3.276729163865076e-4,0.0016782706797856424
37,2.8645332777977166e-5,0.0042390876392657045,5.473177449667116e-5,1.3190956500142758e-5,3.737562837319596e-4,0.0014962388156310065
38,3.3700669400362926e-5,0.004244081033237799,5.824573472307977e-5,1.1258178643105054e-5,4.293026932266794e-4,0.0013226366304255241
39,4.7993258395800375e-5,0.004240706267190329,6.596093327811024e-5,9.213572824966739e-6,5.636088673500549e-4,0.0010558686959501883
40,5.9242286751180844e-5,0.004237383649420711,7.136300629717989e-5,8.294687280689019e-6,6.695373763750654e-4,9.051135032209782e-4
41,9.947452029677358e-5,0.004236483252466656,8.665524526936599e-5,5.658322141449946e-6,0.0010554239957791184,6.332111638385348e-4
42,1.9840079487373728e-4,0.004241368910057446,1.1288782197453482e-4,3.3704872217838946e-6,0.0019044047818640327,3.943710143368401e-4
43,2.6604341649949764e-4,0.004246491123326408,1.2636487310822373e-4,2.1405258289085248e-6,0.0024567473446122728,3.176015796795916e-4
44,3.998193217014178e-4,0.004246414975194234,1.4831869248507572e-4,2.0583517935684476e-6,0.0034746816032341435,2.39306974425542e-4
45,7.968516257998578e-4,0.004245648776736592,1.900267295590768e-4,1.3267860984107194e-6,0.006133356358939021,1.5232245791226516e-4
46,0.00124071801875429,0.004242441922382409,0.00022468630666247993,8.890315351771317e-7,0.008845762994974993,1.1076330758397342e-4
47,0.0018855403196551797,0.00424509704718196,2.587658508304784e-4,1.1313580797746819e-6,0.012103393505322083,8.664081346370873e-5
48,0.0027901330892855848,0.004251078755003957,3.001351064625997e-4,4.0395541942109473e-7,0.016617050964401667,6.504407850091227e-5
49,0.004898824908866911,0.004255686861011004,3.6501557844126163e-4,0,0.025783793422413763,4.6633877539604593e-5
50,0.008245744855256726,0.004256551804458485,4.408366539783981e-4,2.5895624896161264e-8,0.038536936933127444,3.256750826118637e-5
51,0.014320349269087543,0.0042570205876912995,5.221456069229116e-4,0,0.05599261339446887,2.4101255246715316e-5
52,0.019837706792350647,0.004260496329940398,5.867976366529696e-4,1.977006438871204e-9,0.07047573015426478,1.933082719245272e-5
53,0.03938977343455514,0.004263189438168005,7.2462324559445e-4,0,0.11077184729039963,1.3891449073059115e-5
