frame,anger,disgust,fear,happiness,sadness,surprise
1,2.2000000000000003e-5,0.004263,4.4999999999999996e-5,1.8e-5,2.4e-4,0.001939
2,2.7700347917392645e-5,0.004262989582838686,4.5090533424196954e-5,1.797627226324424e-5,2.4012503065211772e-4,0.0019651910378791337
3,2.90827871952606e-5,0.004251495646855896,4.407512469414377e-5,1.8086371179554956e-5,2.3951158359033088e-4,0.00200230632006188
4,2.8175163210842746e-5,0.004249581734289344,4.419209050711784e-5,1.7244846623701757e-5,2.436580559911968e-4,0.002075730085780146
5,2.844875754822919e-5,0.004249193313709128,4.25330654659257e-5,1.6891663357147314e-5,2.4138022255601493e-4,0.0022122442763886966
6,2.959711836275721e-5,0.004250974455343515,4.2571713560899295e-5,1.713739022141639e-5,2.493499640295424e-4,0.0022304741755549556
7,2.6891955437230408e-5,0.00425725118987073,4.2260340160232486e-5,1.652102519380458e-5,2.4791220427514176e-4,0.002321655681274641
8,2.2882379668437032e-5,0.004260488304350357,4.077057342302897e-5,1.597256909478123e-5,2.4281013440508538e-4,0.002465761120057661
9,2.1633216237912326e-5,0.004259877403330179,4.0959006679073925e-5,1.5787252028109072e-5,2.5017495293949227e-4,0.0024905338525393027
10,1.9397534193542094e-5,0.004260027348452913,3.957135297394455e-5,1.4911223711943185e-5,2.4583913027806316e-4,0.002666433123208338
11,1.6898605659643623e-5,0.004259994473106412,3.798466986523458e-5,1.5016207360089313e-5,2.4922776095360024e-4,0.0028190768073254207
12,1.7e-5,0.00426,3.9e-5,1.5e-5,2.5100000000000003e-4,0.002698
13,1.603632730365637e-5,0.004260013532610212,3.9015565233403714e-5,1.4975953614079264e-5,2.570771554751031e-4,0.002849260275333392
14,1.6215097590679044e-5,0.004259917892445378,3.9046903714705376e-5,1.5142395224743745e-5,2.5597745021512067e-4,0.0027427647024797644
15,1.328661706422484e-5,0.004260760890950534,3.795371547568949e-5,1.3579734455489858e-5,2.94473770220552e-4,0.0032915436939356026
16,9.672835074828265e-6,0.0042610762532355895,3.394149067512703e-5,1.2184075955841033e-5,3.0496520210774783e-4,0.004330021034480745
17,8.924374588978533e-6,0.004260982252039141,3.3949880783071765e-5,1.1955602376275805e-5,3.36415445154777e-4,0.004601821674163614
18,8.609233256873433e-6,0.004260982192013498,3.4645693528631284e-5,1.2014866740766802e-5,3.42984046546483e-4,0.004568776851799374
19,7.871490316697637e-6,0.004261076400298416,3.456976973400584e-5,1.1990794115580389e-5,3.3432855243961586e-4,0.004548781375193492
20,8.047822280367837e-6,0.004260760488778723,3.6002963650803006e-5,1.201662538202732e-5,3.5955327182146576e-4,0.004405661791307823
21,7.952116722280737e-6,0.004259918855856956,3.488605881038349e-5,1.196205116038826e-5,3.552226976528456e-4,0.004636734777609123
22,8.073086216778102e-6,0.004260011866898605,3.628924495573814e-5,1.2066069405639067e-5,3.849106900754091e-4,0.004505004621517642
23,9e-6,0.00426,3.9e-5,1.3e-5,4.02e-4,0.0040999999999999995
24,8.956419082796512e-6,0.00426001182051738,3.80856203579634e-5,1.3018783482747126e-5,3.9736401735313324e-4,0.004156838134001505
25,9.918223302107496e-6,0.004259919122217705,3.864765357838334e-5,1.2982002866671488e-5,3.708298437312657e-4,0.003791510962468612
26,9.331623867105575e-6,0.004260759274915809,4.011745769161936e-5,1.3040349584106003e-5,3.9656211165600686e-4,0.0038500531423065944
27,8.783770509334648e-6,0.004261081242498294,3.8448162715392526e-5,1.2854266403891363e-5,3.782635437736958e-4,0.0040400072999772045
