frame,anger,disgust,fear,happiness,sadness,surprise
1,2.1e-5,0.004262,4.6e-5,1.8e-5,2.48e-4,0.001884
2,1.996407299867107e-5,0.0042666753104525345,4.600012423345583e-5,1.7988206692096613e-5,2.4390808780541185e-4,0.0019115757233436836
3,2.0997956574766628e-5,0.0042713967731214395,4.599932445003741e-5,1.8064129011461472e-5,2.469719330394612e-4,0.0018898265154510545
4,2.0067188728483538e-5,0.004265526665618204,4.600342349361492e-5,1.7675012547661335e-5,2.442782833340968e-4,0.0019023745360992157
5,2.0176615473316373e-5,0.004277343457160528,4.598430434122743e-5,1.948996689669629e-5,2.4419121242346206e-4,0.0019149850968841469
6,1.9077518531839794e-5,0.004237877959770075,4.606734450608145e-5,1.1607080391486056e-5,2.4217285862447607e-4,0.0018830634762229033
7,2.4274802349761153e-5,0.004452886072272327,4.5288824595859914e-5,4.4237006582961576e-5,2.4327819203943615e-4,0.002062156975471955
8,1.3476173742125092e-5,0.004537859397945229,4.424806847132057e-5,0,1.643032298926341e-4,0.0020061654410044732
9,1.8302460793323983e-4,0.013574867284965628,4.217198854585524e-5,4.62472443906245e-4,4.256854833436026e-5,0.009843163072165397
10,2.762218409046166e-4,0.015553409394098335,2.6576060944751325e-5,0,2.016801590463205e-6,0.021022313435328385
11,1.0049527808117157e-4,0.005134098341944033,5.992224748697288e-6,0.053993409410192525,2.4285720402529377e-6,0.026363392555501585
12,0,0,0,0.6744982715294723,0,0.0300686249963085
13,4.464585615553398e-6,2.448625291300446e-4,2.110554341583381e-7,1,1.7813390116382177e-7,0.032139054054636254
14,6.11118313784616e-8,2.669011556806337e-5,0,0.9802542022284593,0,0.03656492290265697
15,1.2591052057059216e-6,5.9368980506981344e-5,1.6321084268872075e-8,1,1.3775235987795124e-8,0.04063301941808811
16,9.296077304256761e-7,4.021434443148894e-5,0,0.9978622558812604,0,0.044201471250924246
17,1.018805966255425e-6,4.114002448727559e-5,1.1845912519438876e-9,0.9996404424533248,9.998124987153468e-10,0.048848856529042986
18,9.950686637410428e-7,3.9775977216290795e-5,0,0.9991450159342506,0,0.052283363801397
19,1.0012653091286413e-6,4.004430063296424e-5,7.970205329710083e-11,0.9992382537375399,6.726970921738056e-11,0.05928990864059763
20,9.9968387806308945e-07,4.0030355113092775e-5,0,0.9991772962688217,0,0.061193461615328154
21,1.000076281224105e-6,3.9860290713791874e-5,4.804968249708855e-12,0.9991775145703438,4.055464113976825e-12,0.06673164699948105
22,9.9998247367492e-7,3.8887412898397685e-5,0,0.9991963875250984,0,0.060307809163142954
23,1.0000037278721356e-6,3.912087308916499e-5,2.3481934724380687e-13,0.9992141472384026,1.9819099451331944e-13,0.06166700449014693
24,9.999993140595454e-7,3.9985614174005853e-5,0,0.9992384780215499,0,0.05242384169646281
25,1.0000000847588738e-6,3.897871334114919e-5,5.338976959880424e-15,0.9992298267627864,4.50617534620673e-15,0.05655357586447065
26,1.0000000081215028e-6,3.8999515688742594e-5,5.115749463790052e-16,0.9992349275058333,4.317768045138626e-16,0.05173570520334583
27,9.99999988442243e-7,3.897366963258178e-5,0,0.9992396201907492,0,0.05348853581707984
28,1.0000000058549117e-6,3.993322857936067e-5,3.6880196563534284e-16,0.9992493558695605,3.1127430173734613e-16,0.056458812869878854
29,9.999999976431727e-7,4.002217992276812e-5,0,0.9992477654304178,0,0.06996744199554772
30,1.00000000085138e-6,4.0011782895905955e-5,5.362858830407959e-17,0.9992299380618005,4.526331997378132e-17,0.0796548444060844
31,9.99999999711802e-7,3.9912107550293636e-5,0,0.9992228951992558,0,0.09699898795149506
32,1.000000000093312e-6,4.0787471813524117e-5,5.8777495059987784e-18,0.9992403467837061,4.960907326279928e-18,0.09957254069001119
33,9.999999999707722e-7,4.103656897414756e-5,0,0.9992500358517146,0,0.10939733043632874
34,1.0000000000089177e-6,4.108502790023542e-5,5.617290168114593e-19,0.9992549197976252,4.741075801273803e-19,0.10724591649007463
35,9.999999999973377e-7,4.0365642045769114e-5,0,0.9992536787284994,0,0.10353614038096724
