frame,anger,disgust,fear,happiness,sadness,surprise
1,2.6e-4,0.999771,4.3e-5,4.9e-5,4.4999999999999996e-5,0.009198
2,3.8072121475139623e-4,0.9997567298270379,4.390519705277249e-5,5.749439417003338e-5,3.236332956239772e-5,0.011575076127456629
3,2.4436064903483434e-4,0.9996215696763503,4.501808426384814e-5,4.816501190332111e-5,4.481386531478911e-5,0.008598978694976049
4,3.352914523600119e-4,0.9995895859488536,4.406983469516156e-5,5.780639352563647e-5,3.2409462077163405e-5,0.011479481884960323
5,4.422956826401562e-4,0.9995420261575054,4.4826440165302746e-5,7.078275757396598e-5,2.223999509577943e-5,0.01493280118536105
6,4.4094353816714286e-4,0.9995059952095338,4.435900727151285e-5,7.031044806456783e-5,2.3472814643508523e-5,0.014532656919025805
7,4.1546273726544484e-4,0.9993124255554755,4.389396494521526e-5,6.769507985524188e-5,2.3905657568933965e-5,0.013725372286412253
8,3.5068645157009367e-4,0.9991518328783258,4.403248133715913e-5,6.0420766305337376e-5,2.988277710174269e-5,0.01191142847067302
9,3.7798397286128424e-4,0.9991145556431702,4.399041830331522e-5,6.0757028281948385e-5,2.9124403171330527e-5,0.012090409711705915
10,4.529581936325693e-4,0.9992201218509669,4.400272837484344e-5,6.6562788417844e-5,2.3742741549152274e-5,0.013827397370892714
11,4.730924717007225e-4,0.9993842350021116,4.399925479816415e-5,6.811819423161303e-5,2.3634575684463978e-5,0.01422601016504702
12,5.297225995147822e-4,0.9994033422465388,4.400017955173844e-5,7.27050725852673e-5,2.087717091907064e-5,0.015426580395893189
13,5.996063680097505e-4,0.9993705871320778,4.4000008940588794e-5,7.72765433386541e-5,1.8595617886745184e-5,0.01695826637414321
14,6.23444542059438e-4,0.9990902626302247,4.399984311133053e-5,8.048664856503347e-5,1.7748706364544615e-5,0.017625193806914248
15,6.122691120110845e-4,0.9986516930757868,4.400043144114079e-5,8.089536179842305e-5,1.704509070035405e-5,0.017821739863914336
16,6.20520930101788e-4,0.9987470400098492,4.399908106400833e-5,7.995047878908327e-5,1.8078254080026707e-5,0.017620471212546604
17,6.069491488303319e-4,0.9983410107523271,4.400105814429063e-5,8.000272064541884e-5,1.7973738736741852e-5,0.01773833815920407
18,6.35173679420632e-4,0.9980588949260474,4.40035663458959e-5,7.999333108459249e-5,1.7018396138080487e-5,0.017913564447411
19,6.984629732311643e-4,0.9981975485992217,4.396426459616104e-5,8.083213053814908e-5,1.698408597464852e-5,0.018306261719290815
20,7.188349117238998e-4,0.9975878651747354,4.480844509709732e-5,8.280825938472435e-5,1.70072623880181e-5,0.01884707296449388
21,7.112849615324083e-4,0.9976368044234495,4.586966336967815e-5,8.301201082761331e-5,1.6998330052829087e-5,0.019243550932146702
22,6.546892780789166e-4,0.9964777993504859,4.6035820908173505e-5,8.363199340487758e-5,1.6995731615892393e-5,0.019448432892946874
23,6.257099119132188e-4,0.9946164529940545,4.6014379689030064e-5,8.477656512976331e-5,1.7020588588857937e-5,0.01968431429871053
24,6.241278455454926e-4,0.9940417810854625,4.589675317329166e-5,8.505236771021076e-5,1.6921119702153784e-5,0.020031869164659214
25,5.983326207651817e-4,0.9907229503243125,4.655223274380852e-5,8.50058661064286e-5,1.744928516244293e-5,0.020203156967896138
26,5.841019043767309e-4,0.9896971561985429,4.710302913466051e-5,8.4922483744853e-5,1.8582501166259157e-5,0.02029176313585092
27,5.54782760436956e-4,0.989842331015205,4.696959485531505e-5,8.535505492839188e-5,1.9084021144648914e-5,0.020433743863246045
28,5.218624757801524e-4,0.987460727870477,4.701327630630267e-5,8.633307777615555e-5,1.8959727416626025e-5,0.020839387450370995
29,5.226339013369106e-4,0.9874937334180657,4.6980753279078505e-5,8.74925654653442e-5,1.9065309730130366e-5,0.02130674519355819
30,5.044719436143816e-4,0.9862981533919439,4.705136008555625e-5,8.958128887467018e-5,1.8807817862564655e-5,0.021702993841327425
31,5.073366934611372e-4,0.9858253948370789,4.6855430348158826e-5,9.114325993143655e-5,1.7872385273963487e-5,0.022398209488509506
32,4.899206555333106e-4,0.9882239398544661,4.593203904919677e-5,9.092920037438439e-5,1.8127929915500486e-5,0.022359031755146332
33,4.6680698745651744e-4,0.9848764569800899,4.602049610961785e-5,9.108418171225773e-5,1.8997171588100033e-5,0.02288471791019705
34,4.6e-4,0.9865569999999999,4.6e-5,9.3e-5,1.8e-5,0.023462
35,4.791234518549243e-4,0.9881857549859143,4.5041660916688834e-5,9.389870251502672e-5,1.707199389924015e-5,0.023544487882520584
36,5.014853952148929e-4,0.9872330364674871,4.49751983764291e-5,9.590948654635304e-5,1.6013822347251774e-5,0.023972712876339543
37,4.7619732736139513e-4,0.9874514408473976,4.501577943206098e-5,9.51192091051764e-5,1.6823174582658295e-5,0.024178810207754427
