frame,anger,disgust,fear,happiness,sadness,surprise
1,2e-5,0.004267,4.4999999999999996e-5,1.8e-5,2.4e-4,0.0019450000000000001
2,1.980415047079927e-5,0.004276275296176563,4.5051055805909474e-5,1.800000000025155e-5,2.3881333918408784e-4,0.0019566303322490213
3,1.890549177429626e-5,0.004278137308492338,4.465350805777274e-5,1.799999999831716e-5,2.3758098327258617e-4,0.0019772856949226165
4,1.9021043059253286e-5,0.0042757895298529275,4.380525038446568e-5,1.800000000809436e-5,2.367843097302095e-4,0.0019903437802858332
5,1.8996883481397326e-5,0.004275672773212249,4.481393246443862e-5,1.7999999973455987e-5,2.379388043326758e-4,0.00198212435200669
6,1.9000122701724836e-5,0.004279888656837568,4.5008509286949466e-5,1.8000000025180887e-5,2.3700401360930454e-4,0.0019839526068726114
7,1.9000076311422348e-5,0.004279920959390941,4.503575473249096e-5,1.800000045402284e-5,2.3797805548195116e-4,0.00198103313089954
8,1.9000067830208604e-5,0.004280031454409778,4.4680113820995536e-5,1.7999995925912626e-5,2.3685480329331036e-4,0.001986851549675868
9,1.899947191998941e-5,0.0042799915211108935,4.3906566516322876e-5,1.800002131076108e-5,2.3703428572812086e-4,0.001989255410590681
10,1.900193480076012e-5,0.004280004737366741,4.4008444764835214e-5,1.7999923079824558e-5,2.3699645547033837e-4,0.001993110786911341
11,1.899681909217491e-5,0.004280770794763953,4.4010786000861464e-5,1.8000126374921053e-5,2.3699680771702142e-4,0.0019862738132733807
12,1.8978128989185835e-5,0.004282557105212627,4.408280331849394e-5,1.800086889251051e-5,2.3697402094308395e-4,0.001986241362755998
13,1.9272581436597428e-5,0.004327202182712965,4.510316842365984e-5,1.7990276374702026e-5,2.351197846190944e-4,0.0019643057146899565
14,2.0101028867170752e-5,0.004335357286959286,4.497953064274572e-5,1.8055271304126364e-5,2.2391189754533577e-4,0.0019454414879799152
15,1.9981943987768444e-5,0.005357167683773435,4.4978776403552135e-5,1.778295690198494e-5,1.4925989644535615e-4,0.001938271269639946
16,2.000149117735237e-5,0.010163824439876023,4.505656518626214e-5,1.9152948759745852e-5,6.828498295074998e-5,0.0019351570096346185
17,1.999948561361194e-5,0.09018339767262576,4.3946498403910654e-5,1.9727501301170177e-5,5.0817006111920816e-5,0.0019339749691271284
18,2.001123090029273e-5,0.37149580126363785,4.2283248784895715e-5,1.1195289859280387e-5,4.8333988488749566e-5,0.001933959280473679
19,1.9835225019878543e-5,0.6512042285177061,3.624903946454107e-5,9.763477967285042e-5,4.14470046144093e-5,0.0019344633252643057
20,1.664814404504229e-5,0.6605048923866224,2.5294350627780078e-5,0,2.85445361648316e-5,0.0019349817782613194
21,1.0854950241281611e-5,0.4157905572703123,1.0638680225513244e-5,0.0013616396330565492,1.283279531822761e-5,0.0019358319345460688
22,4.888460905851596e-6,0.20202927219522934,2.896614541473216e-6,0.015137638298724256,3.8880548778705955e-6,0.0019370575330190764
23,2.8995381223826102e-6,0.13419968718686248,9.006369652112002e-7,0.1132309081948819,1.7335113072445884e-6,0.0019408243877394728
24,3.1212469961720172e-6,0.1608000967951656,1.037126636587042e-6,0.13110133153658537,9.160584663796295e-7,0.001945965354047705
25,2.3413681954512044e-6,0.15184487372103117,9.646510468103767e-7,0.24297398091610228,1.0250478466820488e-6,0.0019524093017356829
26,2.043687108696519e-6,0.18116977852634628,1.0879646224743162e-6,0.30613011550138375,9.743235410413304e-7,0.0019618512699390777
27,1.0074259902416472e-6,0.15091648349668657,6.505411686334174e-9,0.5531283956799804,1.0063179920233352e-6,0.0019758839944270254
28,1.0612741185621383e-6,0.10091601030812285,2.1874402690232733e-8,0.8174994740765944,0,0.001990908810523583
29,6.396123462324943e-7,0.08759230999223988,0,0.9047674604451001,2.885132437918348e-8,0.0020150864163250726
30,0,0.07825710270745245,1.7530832181969452e-9,0.9326003619065926,0,0.002042224890349575
31,1.3609904652566572e-8,0.06923066402580447,0,0.9652859086644275,9.966361606727895e-10,0.0020793094275725313
32,0,0.06012047570576317,1.278513744908512e-11,0.9792900938917973,0,0.0021238482749532366
33,0,0.058874175460694934,6.832991790474956e-12,0.9854300351896036,0,0.0021825548662399675
34,1.4407759890354547e-10,0.05056713534506559,0,0.9885249805292785,1.0550620939368924e-11,0.0022373333435668336
35,0,0.047583065986531406,6.917521039758511e-13,0.9906488484645437,0,0.0022716791634641584
36,5.932473487711134e-12,0.0327198472020892,0,0.9909751837418621,4.3442755485945643e-13,0.0023012429617256624
37,0,0.02443347368534622,8.945702723739254e-15,0.992624039681379,0,0.002346742799077442
38,0,0.0166928734897336,1.9537373944704457e-15,0.9927330403429272,0,0.0023773002065216754
39,5.164367246946958e-14,0.009067693555211845,0,0.9933404787814459,3.7818010253242296e-15,0.0024096630267211256
40,0,0.006190335558128628,2.6875703087163608e-16,0.9938723223283794,0,0.0024381291156373333
41,2.515323155134641e-15,0.0073421153404504835,0,0.9941475945027771,1.841938011551652e-16,0.00244371880651303
42,0,0.005807750196187498,4.973752007537523e-18,0.994169022332279,0,0.002452477338680721
43,0,0.0058040228253236955,4.678206220068587e-19,0.9941659168130488,0,0.0024321417566910094
44,1.8074204136622213e-17,0.005945955519976732,0,0.994175880467873,1.3093914387086298e-18,0.00242268583292991
45,0,0.005716431834730405,1.0283706732041028e-19,0.9938452250170138,0,0.0023915352309994056
46,1.0424777718400526e-18,0.003940608370431122,0,0.9940451895284935,0,0.0023786506904815534
47,0,0.0034880077471346966,2.4839012997519217e-21,0.9944084595512553,1.0615884191172442e-18,0.0023990457101384405
48,0,0.0018623969220801324,6.346377437210435e-23,0.9942338601156253,6.710286577471182e-19,0.0023898864677555564
49,6.1537419099479885e-21,0.0020482547424038803,0,0.9944879472755873,0,0.002399883831854131
50,0,0.002080644103697111,5.135573790054508e-22,0.9944202579611742,2.267675070430304e-16,0.0024062004441104483
51,9.64121742732452e-22,0.00150195666857073,0,0.9939775833246655,0,0.002395532237234542
52,0,0.0012205766649433824,6.879167344051638e-21,0.9941662056639018,3.2848837307126265e-15,0.0024036524311847555
53,8.668972313911955e-22,0.0012265873108574122,0,0.9939790937154837,0,0.00240521950449584
54,3.461835529117298e-20,7.328992842959791e-4,0,0.9935621011143474,0,0.002389603814655076
55,0,5.69584637810116e-4,1.1682446589919749e-18,0.9934258213709037,5.579447373305896e-13,0.0023948530534079575
56,1.4344589958802432e-18,3.725947355941303e-4,0,0.9931607310566758,0,0.002390297710281065
57,0,2.7541419194701186e-4,2.0254720827428746e-17,0.9926574382510424,9.673500275296553e-12,0.0023750048180897587
58,6.525571696678433e-18,3.003193434800138e-4,0,0.9915233146339755,0,0.0023711945283522652
59,6.937824863420416e-17,2.5910626084621984e-4,0,0.9894199941381142,0,0.0023649796152393427
60,0,2.05593163819348e-4,2.818777962891489e-15,0.9873741290403095,1.3462268689383198e-9,0.0023655020868154045
61,3.748858424014208e-15,1.7306607687290527e-4,0,0.9870441360839747,0,0.0023857523207157037
62,0,1.9453849858951124e-4,5.787409287056148e-14,0.9860114391742695,2.7640225609632717e-8,0.0023721321832440865
63,2.7252440115967223e-14,1.7755974195253228e-4,0,0.9791889894701395,0,0.0023652688395740125
64,1.2478249557176114e-13,1.4219275524209417e-4,0,0.9690883404624046,1.0489011083494428e-6,0.0023504824394576275
65,0,1.352839868078598e-4,6.64818176482115e-12,0.9626016130113979,9.727637235646403e-7,0.0023356907743748104
66,9.649164131295502e-12,1.519056139129172e-4,0,0.9392957341386429,1.0068935442410962e-6,0.002333246385120354
67,0,1.2435912209938688e-4,1.6145947684957258e-10,0.9108721905662096,1.0007043071741469e-6,0.0023448387993966952
68,9.531255331952308e-11,1.4941905826634268e-4,0,0.813479555190037,9.950891227626405e-7,0.0023147963419401004
69,1.7833829341220917e-10,1.533055373048753e-4,0,0.8149396421147477,9.90546356168617e-7,0.002304597687383242
70,0,1.5224659596649526e-4,1.5251837217574588e-8,0.7511445214321637,1.2118421479022134e-6,0.0022801993098777312
71,2.445353994729955e-8,2.145241134072371e-4,0,0.6019396599933337,2.0795930127246448e-6,0.0022567097153213143
72,0,3.5424000355335794e-4,6.871441646744516e-7,0.42392970626553705,2.3415377790013085e-6,0.002246737725792047
73,8.528318145554802e-7,0.0016866047256143518,9.26723394139945e-7,0.14231827190309143,5.489937126781124e-6,0.0022562168031941255
74,9.983139909623575e-7,0.017694696455171993,1.9980180402098016e-6,0.060561388899716566,6.993587937214117e-6,0.002291089669006953
75,1.0062537158311838e-6,0.05850047869706268,1.0970533258535255e-6,0.09485492865054379,6.061581244576673e-6,0.0022855586949216133
76,9.97919490660942e-7,0.0503992011643033,1.7709629976159623e-6,0.06480976694739529,7.22604139023529e-6,0.0022855508347801885
77,1.0004925713216185e-6,0.020939899082644958,8.733487668274493e-7,0.08666011390139891,6.353626223501254e-6,0.002259052495546057
78,9.998079231896682e-7,0.004773932778591504,1.0400191520853727e-6,0.1118349876071246,6.004957467463586e-6,0.002260812084430428
79,1.000096029088922e-6,4.97087958263258e-4,9.82564023516026e-7,0.10686616029461053,5.965910240066435e-6,0.00228237461382735
80,1.002387538260568e-6,2.9400493281570017e-4,2.1083875510341404e-6,0.05047671780668878,8.178872506141508e-6,0.002280964677747915
81,9.795201727990693e-7,2.591070483990627e-4,1.6423931387546136e-6,0.06964245057169494,7.673921498045573e-6,0.002248746100922537
82,1.105025865647381e-6,1.8059191881694914e-4,9.123210118478993e-7,0.07979871156940431,6.444101887052291e-6,0.0022541759547518568
83,2.2846391066563954e-7,1.3077536018507656e-4,1.0140255575911627e-6,0.1391474820399617,5.278336061554737e-6,0.002266556132640703
84,0,1.0180445605413817e-4,9.99162914676388e-7,0.19231533019448546,4.048786114014612e-6,0.002232417318963486
85,2.035836844515817e-9,9.100149273853864e-5,1.0001380819054735e-6,0.24050960371125554,4.09371641456509e-6,0.002201828720847836
86,0,1.1740704492783945e-4,9.95589984219097e-7,0.13613645705117342,5.244794850422755e-6,0.002232299659556165
87,5.054596409829759e-7,1.5519724609113343e-4,1.0252497256795178e-6,0.0739154999337859,7.1004129508225685e-6,0.002271005716313342
88,1.0656719123137749e-6,1.7704667494519366e-4,9.027147787864274e-7,0.049313974982067,8.0648152966289e-6,0.002341943825412714
89,9.941301676959676e-7,1.8652127331463689e-4,1.9027828683415994e-6,0.04258992589304286,8.801426796171195e-6,0.002416239540343086
90,9.99140791676732e-7,2.143881559670464e-4,1.9345534852604836e-6,0.029382788890521015,9.852113249301541e-6,0.0024917154121491328
91,1.0006007139142917e-6,1.617824054655678e-4,8.433400994503428e-7,0.05003547540723441,6.767122984385885e-6,0.0026930799938915564
92,9.993617565027838e-7,2.188578868867145e-4,1.5111440020931355e-6,0.02671707033436655,9.418264644645586e-6,0.0029764993735336867
93,1.0020861666835451e-6,3.037501823966303e-4,1.9566241015735774e-6,0.0091429329343443,1.2656645744983583e-5,0.003151023826393394
94,9.947944851791612e-7,4.4058525863731974e-4,2.8878602425314686e-6,0.004230268353908078,1.8582874560996155e-5,0.0031998571670138424
95,9.926867569031286e-7,4.857578267931098e-4,3.01334991466682e-6,0.0029889813644770947,1.9119385556061993e-5,0.00345579248356283
96,1.1973704506650648e-6,6.683912434875534e-4,4.295282257940065e-6,0.0011929805220955664,2.6054812850352584e-5,0.0037019097354739207
97,2.1067953400721273e-6,7.753269345591878e-4,5.097030722753916e-6,8.625335413930395e-4,2.924515897521297e-5,0.003956981145187369
98,1.9777969231506472e-6,9.058810245009597e-4,4.8896937073471955e-6,5.076302754109814e-4,3.2254452261202006e-5,0.004562140194149219
99,2.003318863673507e-6,0.0010543750278781655,5.806511928666776e-6,3.259961563298155e-4,3.5325715305307483e-05,0.0051345712439873235
100,2e-6,0.0011840000000000002,5.999999999999999e-6,2.47e-4,4e-5,0.005024
