frame,anger,disgust,fear,happiness,sadness,surprise
1,1.8e-5,0.010948,4.6e-5,1.8e-5,2.77e-4,0.002086
2,1.4903770175148835e-5,0.02895439224111109,5.008583655476185e-5,1.80253304505644e-5,4.0781803711114635e-4,0.0023404460761093033
3,1.6798816680347952e-5,0.08552417120371802,4.814202791345846e-5,1.7906023214916776e-5,3.337053653428285e-4,0.0021693848531427235
4,1.588232596182343e-5,0.11719153824025073,4.98250283574572e-5,1.8789072628539253e-5,3.882173595752375e-4,0.002482136187131009
5,1.2903128339970927e-5,0.1491735256484393,5.3883432311535005e-5,1.9231001696121348e-5,5.153112701573327e-4,0.0028289940124981987
6,1.132238845855552e-5,0.20221505215925437,6.020374583930305e-5,2.2720118930633018e-5,7.392476684337606e-4,0.004419819840085659
7,1.0641827112196792e-5,0.23217917277722896,6.714225427102061e-5,2.6087483273815425e-5,9.336365068452804e-4,0.0060056781418291695
8,1.2381735794823291e-5,0.24312510162200493,6.58900971722342e-5,2.827378399897585e-5,7.598350998958409e-4,0.006672135162708194
9,2.4038943603879616e-5,0.27970879514101094,5.796217083794381e-5,3.408257000133995e-5,3.551830577738931e-4,0.007661995373801249
10,4.5192712840870604e-5,0.3313835039178334,5.471585714111589e-5,4.300839800871748e-5,1.5896097765837018e-4,0.009620685556440398
11,5.322987575884815e-5,0.3429789488189059,5.383906236437569e-5,4.632675333300459e-5,1.3631153368446686e-4,0.010648553017861329
12,3.8e-5,0.276798,5.1000000000000006e-5,3.4e-5,1.64e-4,0.006286000000000002
13,4.2346906292070705e-5,0.26721131835634754,4.816326990762081e-5,3.3811681616901815e-5,1.383459347621003e-4,0.005882060177565297
14,4.121765014722311e-5,0.24204336750651423,4.781589860828531e-5,3.2137509338130104e-5,1.3295603283277523e-4,0.005317683432521448
15,2.6680934759462524e-5,0.18921751534216405,4.888031058022753e-5,2.5528413599373253e-5,2.2369714291388098e-4,0.003981492745969284
16,2.0172313115116777e-5,0.14565792326546248,4.8726075337382716e-5,2.2934423677008384e-5,2.7056759433306257e-4,0.003330654857156374
17,1.8625579257097396e-5,0.1273129794711956,5.070115497269157e-5,2.2681437697903334e-5,3.2937615220483325e-4,0.0032996861440657715
