frame,anger,disgust,fear,happiness,sadness,surprise
1,1.9e-5,0.004264,4.6e-5,1.8e-5,2.52e-4,0.001966
2,1.8999282761462047e-5,0.004263291775945039,4.599823615409367e-5,1.800017815626835e-5,2.512802307981418e-4,0.0019617590630572595
3,1.900216310035256e-5,0.004262319015985936,4.600531953527305e-5,1.7999462703317672e-5,2.5035383468292546e-4,0.0019600119938730093
4,1.8994774404937767e-5,0.00426200606268089,4.5987149122682476e-5,1.8001297995669413e-5,2.4992194803921474e-4,0.0019604254762700057
5,1.9005874525168002e-5,0.004263324392915074,4.601444673789944e-5,1.799854081532589e-5,2.514216966500708e-4,0.001965135689335884
6,1.901543770567405e-5,0.004265096293589978,4.6037964683317135e-5,1.7996165398414547e-5,2.547494530558866e-4,0.001972754065155266
7,1.889333638314147e-5,0.004264970518352772,4.544139461963421e-5,1.8026494382193298e-5,2.5399433081932355e-4,0.0019716070163551588
8,1.9434912178091068e-5,0.004285683936029301,4.419109398322491e-5,1.791377802187281e-5,2.482398705460546e-4,0.0019977744831956032
9,2.009078529508685e-5,0.004315992808934953,4.0513064649425614e-5,1.8174462005823026e-5,2.4308408352244102e-4,0.002124417193238806
10,2e-5,0.00433,3.3e-5,1.9e-5,2.42e-4,0.002415
11,1.9994357806459814e-5,0.00433625484578162,2.3717035271626288e-5,1.913872069942926e-5,2.4036836897109882e-4,0.002949206694973595
12,1.9976592621701657e-5,0.004330688655185619,1.4672591742615848e-5,1.841044453318055e-5,2.3981373690419244e-4,0.003960459483332726
13,2.007461099677758e-5,0.004321854445088496,9.498201280802206e-6,1.7898777287470327e-5,2.4006634261921166e-4,0.0049736936137713085
14,1.9912173447334767e-5,0.004316071720658745,7.70767622587977e-6,1.8016981622700373e-5,2.3998017772363997e-4,0.006040307819651564
15,1.906961657130293e-5,0.004308895236600209,5.2673834401036055e-6,1.8012475790515357e-5,2.3996609397314666e-4,0.007547449107655598
16,1.9020991405374517e-5,0.0043042079181908836,4.225328065377666e-6,1.7946571293147098e-5,2.4021573097265868e-4,0.008230119554903126
17,1.863717452188391e-5,0.004301757465323783,3.5071412605890606e-6,1.8160121234165016e-5,2.389545499234591e-4,0.009301886043419434
18,1.7808688987009236e-5,0.004301020497919858,2.971732194972042e-6,1.7677577594933715e-5,2.341871069272541e-4,0.010471750689277907
19,1.7e-5,0.004302,2.9999999999999997e-6,1.6e-5,2.24e-4,0.011205
20,1.5342413084341367e-5,0.004308109480159179,2.128647180580433e-6,1.5056612530252337e-5,2.0874824433967843e-4,0.013411644872599607
21,1.4823847890604482e-5,0.004338726536672011,2.373786609664821e-6,1.5112158256819232e-5,1.9771609038161288e-4,0.015421442852577613
22,1.5072378534410535e-5,0.004372028924175867,3.410394527130541e-6,1.4543349968375612e-5,1.7796796871944904e-4,0.01407672880942057
23,1.4968454578895254e-5,0.004499604735269177,4.0754642472638616e-6,1.2718342957600865e-5,1.4403533712789227e-4,0.023254414307449144
24,1.4633535530077542e-5,0.004905201142189239,4.458217510461919e-6,1.0792606082151857e-5,1.1132953171581201e-4,0.06758632923736235
25,1.4115650628445612e-5,0.005575079638051841,4.6073471266176615e-6,8.954300151576715e-6,8.213148336562348e-5,0.14536289290405363
26,1.3438195377716553e-5,0.006461845160288762,4.552246335611834e-6,7.213465556403756e-6,5.633730696692414e-5,0.25040082733347785
27,1.2624565281607462e-5,0.00751810264633178,4.32230837732519e-6,5.580142687161309e-6,3.384311740931158e-5,0.3765168545515894
28,1.1698155843835424e-5,0.008696457033612687,3.946926491638472e-6,4.064371934377681e-6,1.454502958238307e-5,0.5175276965843444
29,1.0682362568117534e-5,0.009949513259563256,3.4554939184324327e-6,2.6761936885811983e-6,0,0.6672500754576972
30,9.600580958170883e-6,0.011229876261615273,2.877403897587819e-6,1.4256483403001808e-6,0,0.8195007131976029
31,8.47620651771257e-6,0.01249015097720051,2.2420496689853814e-6,3.2277628006295407e-7,0,0.9680963318300153
32,7.332634750459673e-6,0.01368294234375076,1.5788244725058636e-6,0,0,1
33,6.193261160129292e-6,0.014760855298697802,9.171215480300183e-7,0,0,1
34,5.081481250438518e-6,0.015676494779473412,2.8633413543859066e-7,0,0,1
35,4.0206905251044414e-06,0.01638246572350938,0,0,0,1
36,3.0342844878441624e-6,0.01683137306823747,0,0,0,1
37,2.145658642374758e-6,0.016975821751089488,0,0,0,1
38,1.3782084924133289e-6,0.016768416709497195,0,0,0,1
39,7.553295416769654e-7,0.016161762880892386,0,0,0,1
40,3.004172938827579e-7,0.015108465202706835,0,0,0,1
41,3.686725274779861e-8,0.013561128612372318,0,0,7.2474200914177e-6,0.8927053129521598
42,0,0.01147235804732065,0,8.0917231944291e-7,2.178681990180125e-5,0.5929993751151872
43,6.700899581177688e-7,0.009126249751881265,7.425264540561672e-7,2.567146005686253e-6,4.229803824893148e-5,0.24701293032326854
44,5.162992339692437e-6,0.008575525590625022,1.1037114579965623e-6,6.779655069013106e-6,9.56115469806429e-5,0.058700558202006314
45,9.783335680613092e-6,0.00813559006477438,9.432703891889713e-7,1.0711048588887423e-5,1.4973193797159363e-4,0.033566970917947685
46,1.1000000000000001e-5,0.014247000000000001,1e-6,1.2e-5,1.69e-4,0.026336
47,1.4700202949724e-5,0.04369959196309934,1.7427705179755202e-6,1.4985238625374512e-5,1.9621474162971836e-4,0.019863094717151766
48,1.8911476061427854e-5,0.07497738342919047,2.563517038781201e-6,1.8270085219543786e-5,2.2486915139830466e-4,0.014404201523518054
49,2.212105627949333e-5,0.09701375825816175,3.1542598342779244e-6,2.0771857464422503e-5,2.473970010755379e-4,0.010314333311059336
50,2.4405566884332896e-5,0.1107183299425654,3.5384599314207053e-6,2.2552380118811878e-5,2.642069560132644e-4,0.007459293234376028
51,2.5859873754190058e-5,0.11713817228637585,3.743382555214418e-6,2.368661432116174e-5,2.7579921549253654e-4,0.005699269415215065
52,2.6578842767308328e-5,0.11732035909356753,3.7962929306639374e-6,2.4249521209921927e-5,2.826739787944065e-4,0.0048944499753233745
53,2.6657339801931234e-5,0.11231196416811487,3.7244562827741382e-6,2.4316061923542285e-5,2.853314451999268e-4,0.004905023036447881
54,2.6190230736302282e-5,0.10316006131399236,3.5551378365498943e-6,2.3961197600472643e-5,2.842718139901495e-4,0.005591176720335517
55,2.5272381448664977e-5,0.09091172433517433,3.3156028169960804e-6,2.3259889379162827e-5,2.7999528444612703e-4,0.006813099148733228
56,2.3998657817262853e-5,0.07661402703563527,3.0331164491175712e-6,2.2287098398062683e-5,2.7300205584891165e-4,0.008430978443387934
57,2.24639257203394e-5,0.06131404321934964,2.7349439579192408e-6,2.1117785795622044e-5,2.637923274795556e-4,0.010305002726046565
58,2.0763051036138143e-5,0.04605884669029184,2.448350568405965e-6,1.982691271029075e-5,2.528662986191113e-4,0.012295360118456063
59,1.8990899642902593e-5,0.031895511252436295,2.200601505582618e-6,1.8489440280518622e-5,2.4072416854863088e-4,0.014262238742363346
60,1.7242337418876272e-5,0.019871110709757576,2.018961994454074e-6,1.718032964475551e-5,2.2786613654916687e-4,0.016065826719515362
61,1.5916412859482914e-5,0.011154607943550266,1.951968276194964e-6,1.61203251629535e-5,2.1708949895824729e-4,0.01728958813618398
62,1.6887330965964263e-5,0.007429650528228746,2.1224075530697133e-6,1.6227928242379163e-5,2.2252836495651046e-4,0.016233877704680603
63,1.6085274688203677e-5,0.006702172116204347,1.7646559344477474e-6,1.5421125885491356e-5,2.166226508565789e-4,0.017576809495776596
64,1.1999999999999999e-5,0.0058779999999999995,1.0000000000000002e-6,1.3e-5,1.84e-4,0.022853
65,1.3300819527203503e-5,0.005419181686933219,1.7658869989298892e-6,1.3570357694222586e-5,1.7848655917906457e-4,0.022143674959542725
66,1.4809988707963144e-5,0.005248086422110037,2.117681144790061e-6,1.47646260784195e-5,1.832542450533947e-4,0.020447573729974942
67,1.5232976187933625e-5,0.0051720997036209995,1.9638392551299047e-6,1.4977335593708356e-5,1.915152815917405e-4,0.01947264531985468
68,1.615052022616407e-5,0.005158611017503097,2.00523314152978e-6,1.5080976271058007e-5,2.0209295924542725e-4,0.018107571461212557
69,1.6968073201829747e-5,0.005184679414741252,2.0019900875099797e-6,1.5929499988921084e-5,2.0573419782738097e-4,0.01705718330879913
70,1.684811201880256e-5,0.005034792193762834,1.998238792411356e-6,1.5967664041401457e-5,2.0758658822046106e-4,0.01687863287832464
71,1.7822240346846293e-5,0.00486752597739526,2.0006995533615583e-6,1.6407068182348806e-5,2.0789727638333464e-4,0.016367558800497978
72,1.9237056565414393e-5,0.004764098032502717,1.999820899691007e-6,1.70947773311909e-5,2.0853583739676685e-4,0.015653063455798637
73,1.9e-5,0.004746,2e-6,1.7e-5,2.14e-4,0.015437000000000001
74,1.8150175292723368e-5,0.004994146597847612,2.0001565511393703e-6,1.701401315346116e-5,2.2391190452936702e-4,0.014945431124908391
75,1.7967824715728034e-5,0.005402517455708701,1.9994108915508777e-6,1.6888612700192985e-5,2.2787067727427906e-4,0.014946564688751999
76,1.7904508212033275e-5,0.006040265793451043,2.001475431377716e-6,1.733701476144141e-5,2.285224736657721e-4,0.014889016883364498
77,1.8134819065855138e-5,0.006849611500690173,1.9983338842331654e-6,1.802050092451381e-5,2.2871883203284926e-4,0.014518141157701298
78,1.9759957377300174e-5,0.007367896432091788,1.9956191250445177e-6,1.7923785531449625e-5,2.2181563915862814e-4,0.014691242895350691
79,2.1240508053994006e-5,0.007051021263147389,2.0302712699144467e-6,1.9251777641046855e-5,2.0531044146786007e-4,0.015129318689964406
80,2.3369406497712172e-5,0.006106112210837851,1.9014856493889318e-6,2.0685272666916934e-5,1.868537322732892e-4,0.015679898238324334
81,2.5417115283483942e-5,0.005433561679212818,2.1977701822587834e-6,2.09800688546076e-5,1.7620017320545134e-4,0.014885488787712998
82,2.6e-5,0.0054600000000000004,2.9999999999999997e-6,2.1e-5,1.74e-4,0.012466999999999999
83,2.608187158589512e-5,0.0053936134092453375,3.44008779999853e-6,2.190563929176902e-5,1.721493738170867e-4,0.010944908103457662
84,2.5530351553110558e-5,0.005157467714790255,6.729609992509632e-6,2.1501942212564216e-5,1.7935463963502082e-4,0.008140700230945392
85,2.4595102557403414e-5,0.004987528024968905,1.0046799620870562e-5,2.0936180401505536e-5,1.8734175424407927e-4,0.005886621351047082
86,2.3951303641281445e-5,0.004944743046138399,1.2540734218306027e-5,2.093667212508786e-5,1.892569477029128e-4,0.0052830121115350764
87,2.3967413115673075e-5,0.004889231607619783,1.739285995945894e-5,2.0090451901883873e-5,1.916787707356953e-4,0.004213664364411294
88,2.4127930764881602e-5,0.0048575680057636045,2.0598127242159654e-5,1.9921418456892876e-5,1.9399572395322837e-4,0.0036969938169011366
89,2.3536683362821194e-5,0.004781566819881728,2.4669040815236557e-5,2.0030381946893614e-5,2.0032848251212582e-4,0.0033161395445954482
90,2.2953769089783292e-5,0.0047202168512960364,2.8906511682839177e-5,1.9993773464204068e-5,2.0561303208283332e-4,0.0029436308759685365
91,2.3e-5,0.004729,3.1e-5,2e-5,2.06e-4,0.0028539999999999998
92,2.222108724593337e-5,0.00466808916751731,3.399671792063098e-5,1.9993991418642118e-5,2.1155972561432343e-4,0.0026421726753927703
93,2.1807991632364035e-5,0.004663611757101467,3.7432354682562254e-5,2.0029545157533253e-5,2.1400222808683452e-4,0.002523759132760315
94,2.2303525154212427e-5,0.004718130420119539,3.9811888450495806e-5,1.9923520160402624e-5,2.11783284594184e-4,0.002495834713465519
95,2.3092101758177976e-5,0.004781382295929643,4.121174561780622e-5,2.0088077755326566e-5,2.071368555260561e-4,0.0024706232418862323
96,2.3821492817334986e-5,0.0048708123848951335,4.2800983161335943e-5,2.0930429287255196e-5,1.9932171613648575e-4,0.0024971870396276598
97,2.544639962064079e-5,0.004981875283328161,4.382498916271153e-5,2.0979317866043132e-5,1.9003143639969368e-4,0.0025367353826606194
98,2.6175096421053236e-5,0.005061921094961661,4.4025912928961776e-5,2.136155620220006e-5,1.8476702422896566e-4,0.0025701974356721015
99,2.5994862079779713e-5,0.005117302444143835,4.405831032833904e-5,2.218280370828743e-5,1.8195549691889603e-4,0.0026012709771031264
100,2.7000000000000002e-5,0.005209,4.4999999999999996e-5,2.2000000000000003e-5,1.74e-4,0.00264
