frame,anger,disgust,fear,happiness,sadness,surprise
1,2e-5,0.004262,4.6e-5,1.8e-5,2.43e-4,0.001914
2,2.217868531346665e-5,0.004282210376190719,4.497865547343023e-5,1.7999972746899244e-5,2.4095833944903254e-4,0.001927080243372622
3,2.4208160305740503e-5,0.004130414224815507,4.500995524861036e-5,1.80001837273061e-5,2.4101297682992595e-4,0.0019249650903853891
4,2.7219970692576447e-5,0.005015497565722592,4.4995588132913876e-5,1.7998940019748174e-5,2.4103117875952948e-4,0.0019275255998478429
5,3.5978213112035e-5,4.7603840837484937e-4,4.500653407541178e-5,1.800533427428129e-5,2.4077798744864278e-4,0.0019300399164754972
6,4.734374868193122e-5,0.021744137114030074,4.4974242535004064e-5,1.7975518395056658e-5,2.3956628116773734e-4,0.0019293790141900317
7,4.282118568132393e-5,0,4.510910329698939e-5,1.8104718454992105e-5,2.4199048644287413e-4,0.0019248665254072558
8,2.85984498594896e-5,0.4870443499817986,4.419970939209238e-5,1.739807022608641e-5,2.483341305663188e-4,0.0019338822913707904
9,2.6136858148496123e-5,0.9940105241249275,4.015847282889576e-5,1.7015975507952092e-5,2.557081814824381e-4,0.002029505745703065
10,2.593299706609107e-5,0.9685999780945861,3.233099620617374e-5,1.630827678709036e-5,2.67953338528271e-4,0.0022394643179209114
11,2.721772872412735e-5,0.9814779680290976,2.3388027427557537e-5,1.526384185526717e-5,2.908547069950765e-4,0.0026300457776377386
12,3.134764802602235e-5,0.9875417062383526,1.6620263184816378e-5,1.3198850135980003e-5,3.3587778091416135e-4,0.0029871650415432046
13,3.7653942940159385e-5,0.9946605914805968,1.2025042117889167e-5,1.1109323170394067e-5,4.023334316993672e-4,0.0032698053291911784
14,8.143484129775586e-5,0.9986150533662214,1.2951898683211403e-5,5.777378177713432e-6,8.207715178584163e-4,0.002147902589354966
15,2.614165498316345e-4,0.9996608569786367,1.4050094322213769e-5,2.7096422554064673e-6,0.002174654201834232,0.001337966334566859
16,0.0011946802373482288,0.9998649794394916,2.5220693977490568e-5,6.865224559758554e-7,0.008528481737382231,3.603639482748451e-4
17,0.005545916937548894,0.9999274642964957,3.73602346148925e-5,0,0.029621330485146053,2.0234670883971206e-4
18,0.022748420151967083,0.9999572545347776,5.9456027798398906e-5,1.7072503171138134e-8,0.08059855908000786,6.503715176957639e-5
19,0.03862427032616039,0.999966525196508,6.7687034265462e-5,0,0.10252734770903801,6.35264176937026e-5
20,0.05590551565958185,0.9999722349729643,7.055256919243423e-5,1.0905746564762647e-9,0.1003227842422085,6.013452887493599e-5
21,0.07776282716414068,0.9999772993831351,7.654644992249382e-5,0,0.0994151586595601,5.923371412286544e-5
22,0.11646132712627083,0.9999785786171137,7.81210928415531e-5,5.4290730751213846e-11,0.09931740872604089,5.8491066553147765e-5
23,0.1640792682211691,0.999981273754081,8.62656221730809e-5,0,0.09163848327405769,5.998828857023968e-5
24,0.21713741281583496,0.9999845187984585,8.411625311240519e-5,8.567047121016122e-12,0.07794139233791045,6.942878244598298e-5
25,0.379944423736562,0.9999887776397638,7.499267462325207e-5,0,0.055043710327774664,9.7771969511353e-5
26,0.5039350940226991,0.9999920617708056,5.3793728636666375e-5,0,0.026748939968979476,2.026885820147445e-4
27,0.7028040061556163,0.9999952098595527,5.2543440837091415e-5,3.81310904830332e-10,0.016920169861746125,3.07810063313286e-4
28,0.7861822649927698,0.9999959904750672,4.3112630025428654e-5,0,0.009532400932506083,5.049214091055641e-4
29,0.8280392746679104,0.9999962197779638,4.067320874966037e-5,1.524482378654029e-8,0.007711199340650326,6.318117167956955e-4
30,0.813177596135649,0.9999971096724302,3.3050595634739594e-5,0,0.00524360844468012,8.9125200376773e-4
31,0.7915877508004585,0.9999969706822501,3.0297683569674563e-5,4.1302987042841486e-7,0.0042019078897961495,0.0010845936481975208
32,0.767292155573756,0.9999970073496163,3.025077043320907e-5,1.0900598966469415e-6,0.0035623784255970586,0.0011790165428218118
33,0.6666182917874729,0.9999969982679532,2.823897894938966e-5,1.0153515685097166e-6,0.00260114877275677,0.001506286484133419
34,0.5289313891800702,0.9999970003810364,2.6070607532472666e-5,8.609574874231024e-7,0.0016853275859839974,0.0018975149016889153
35,0.27254057484345606,0.9999969999233104,1.9698736490606935e-5,2.3271709542442523e-6,7.735881344873984e-4,0.003547721472945434
36,0.08917787163534015,0.9999970000134232,1.534992711716491e-5,5.4851114676268065e-6,2.730375999921942e-4,0.006963028955600399
37,0.04125484066772471,0.999996999998312,1.3072166976794126e-5,8.698701017411807e-6,1.5748547896873348e-4,0.010378056383919643
38,0.017250992291539965,0.9999970000000028,1.3015777247752389e-5,1.4894190151966045e-5,8.46070933826236e-5,0.014412960310317913
39,0.005825375554543374,0.9999969999987578,9.871606821457331e-6,3.246355107855349e-5,3.490602942126375e-5,0.026867342028788512
40,0.0024790721908786984,0.9999970000113788,1.0108523403897176e-5,5.62089578082858e-5,1.883330470072242e-5,0.036043533985952586
41,0.0017242320734744089,0.9999969999316737,1.1521579652197096e-5,7.009602875996004e-5,1.4627166674020222e-5,0.03959637325805987
42,0.0014913453392708,0.9999970003491078,1.291242068499919e-5,7.514081005873777e-5,1.3456576739283575e-5,0.03642120233675326
43,0.0010708021084610776,0.9999969983816204,1.4471924692606164e-5,8.68873794480619e-5,1.1500420971389036e-5,0.03865428757201118
44,9.346540326192257e-4,0.9999970069790899,1.7437828519546365e-5,9.397752576840959e-5,1.0480185330366713e-5,0.036118179426275814
45,8.261556804423772e-4,0.9999969717306828,2.0703316455538167e-5,9.913229222347799e-5,9.919111032132527e-6,0.033538162053783495
46,8.115780586568387e-4,0.9999971075457788,2.4346184210106804e-5,9.959074532049888e-5,1.0018287492410798e-5,0.030838667198245663
47,7.821025750854605e-4,0.9999962509566452,2.781192676786628e-5,1.0005805510676999e-4,9.996180512208466e-6,0.02864794700414032
48,7.734427479339204e-4,0.9999959563038794,3.1406070924267155e-5,1.0004460245948029e-4,1.0000712089696251e-5,0.026613334601213963
49,7.569337944230264e-4,0.9999960096100339,3.475848794466854e-5,9.984691729097409e-5,9.999891859622534e-6,0.025163299840133303
50,7.369211841339612e-4,0.9999959949095982,3.59220283848391e-5,1.0199164487032614e-4,1.000000879759881e-5,0.02469172641920322
51,7.510604234280783e-4,0.9999959803156361,3.9081754445825644e-5,9.993442319482805e-5,1.000000205984988e-5,0.023345313920049016
52,7.494912731612828e-4,0.9999948409126078,4.0201559366618376e-5,9.870247228261615e-5,9.99999858001502e-6,0.022704341971721158
53,7.624072985149764e-4,0.9999939754531206,4.21384434980944e-5,9.748842758771832e-5,1.0000000512485695e-5,0.021998263225696136
54,7.12239879768183e-4,0.9999937869256332,4.2133657965989274e-5,1.0152607324235243e-4,9.999999978335041e-6,0.022470693821600867
55,7.162757102557336e-4,0.9999927548363075,4.347664947067692e-5,1.0050622851696753e-4,9.999999340446814e-6,0.02204767555367548
56,7.112797542167151e-4,0.9999907377491433,4.401383232203084e-5,1.0003060447132105e-4,1.0000003116724e-5,0.02175605433547078
57,7.079102688664149e-4,0.9999880978702536,4.437355886348374e-5,9.944996485341128e-5,9.999987032512818e-6,0.021502705098203522
58,7.128243048122953e-4,0.9999883652758151,4.584957839680994e-5,9.928162088172352e-5,1.0000050548413419e-5,0.021261682560233145
59,6.841226518543599e-4,0.999985302158693,4.522733250624659e-5,1.0166238220255207e-4,9.99981592464346e-6,0.021568989748683695
60,6.771100216865081e-4,0.9999823536240169,4.5743558384811315e-5,1.011532657594446e-4,1.0000613378650091e-5,0.021547619630239937
61,6.664262023078894e-4,0.9999796840062657,4.6040752847513354e-5,1.0192985096837574e-4,9.998232304131684e-6,0.02156913416554379
62,6.776911521374474e-4,0.9999742257315319,4.599527676334468e-5,1.0102642914812386e-4,1.000359621580041e-5,0.021230506991041093
63,6.648613591162349e-4,0.9999729840292294,4.599983146232111e-5,1.0200700546073413e-4,1.0002213290242034e-5,0.021405237801574516
64,6.560249131485689e-4,0.9999697487243658,4.600066271909557e-5,1.0204276221980528e-4,9.91630850557383e-6,0.021553708488030874
65,6.442561209226951e-4,0.9999660732647322,4.59973615756618e-5,1.0312796516826336e-4,9.058749855598374e-6,0.02171973551374389
66,6.522497340817569e-4,0.9999600362230356,4.601426053495869e-5,1.027193925894892e-4,1.0123403081292522e-5,0.021455980545140446
67,6.601743512367514e-4,0.99995889941241,4.592938015164143e-5,1.0206868233538112e-4,9.965200905698541e-6,0.021273387416546413
68,6.669309371285753e-4,0.99995642383948,4.639197902847356e-5,1.0112623712847299e-4,1.0003458996149847e-5,0.02106126594863442
69,6.768769182463627e-4,0.9999530273849646,4.713040352840207e-5,1.0034712019723732e-4,1.0024262110924546e-5,0.020900935714512025
70,6.74314581675547e-4,0.9999530079775616,4.685892656034658e-5,1.0051057250468072e-4,9.893970458122091e-6,0.02087593418819539
71,7.211105309920235e-4,0.9999444348208683,4.772629626012926e-5,9.534800636313305e-5,1.0681729116265e-5,0.019925178357021792
72,7.327941196198873e-4,0.9999485034984641,4.792206837481342e-5,9.396348870533353e-5,1.1058430489003035e-5,0.01964445238890859
73,7.517848535298753e-4,0.9999217174110521,4.894804836046637e-5,9.230437985304103e-5,1.0984002576640407e-5,0.01919017491215125
74,7.449769994364385e-4,0.9999867880907284,4.803861287984316e-5,9.203739196057961e-5,1.1015669818249394e-5,0.019175529993496882
75,7.283475247554875e-4,0.9998855198620097,4.8985326609947834e-5,9.0049224065407685e-05,1.0987593577420648e-5,0.01854426164009829
76,7.070103632721879e-4,0.9993538123815797,4.9027695400418215e-5,8.670485430833806e-5,1.2034763923064709e-5,0.01767819575431864
77,6.558099297111328e-4,1,5.0096198386818444e-5,8.021828777927529e-5,1.1975688453197143e-5,0.016157038816596823
78,5.09582052747486e-4,0.9057180251949609,4.983563264176072e-5,7.477372434086155e-5,1.0232304214581802e-5,0.014502325118609933
79,3.817741766222142e-4,0.5301202494158691,4.8618567908413615e-5,6.80932247303953e-5,6.2401238536190335e-6,0.012561279182569128
80,2.361345598497048e-4,0.32096878558787806,4.797906026721269e-5,5.6746990060908225e-5,6.565372805124838e-6,0.00963647131623198
81,1.338716884173313e-4,0.15409874679335503,4.7658678883339955e-5,4.350878402985409e-5,9.216104225022518e-6,0.00664200174854159
