frame,anger,disgust,fear,happiness,sadness,surprise
1,2e-5,0.004262,4.4999999999999996e-5,1.8e-5,2.41e-4,0.00193
2,1.9999999981459345e-5,0.004260966799328708,4.500000000474728e-5,1.8000000000241385e-5,2.399667994591625e-4,0.0019324531986201125
3,2.000000012706576e-5,0.0042610131459396945,4.4999999967465196e-5,1.7999999998345698e-5,2.4001314504564349e-4,0.0019354761556740789
4,1.9999999310107245e-5,0.004260996309705515,4.500000017664492e-5,1.8000000008981894e-5,2.3999631455968965e-4,0.0019361510562268289
5,2.000000305192085e-5,0.004261000855238221,4.4999999218565014e-5,1.7999999960266247e-5,2.400008337645115e-4,0.0019353085630672642
6,1.9999988940846294e-5,0.004260999804734468,4.500000283166241e-5,1.8000000143981998e-5,2.3999988254810346e-4,0.0019356735020472583
7,2.0000028993859493e-5,0.00426100012059211,4.4999992576211124e-5,1.79999996225214e-5,2.39999916587566e-4,0.0019360474047535737
8,1.9999990603992118e-5,0.004260999967258957,4.500000240581902e-5,1.800000012232907e-5,2.4000003337048263e-4,0.001935996667952617
9,1.99994523906797e-5,0.004260998109095058,4.500014021368835e-5,1.8000007129468203e-5,2.4000196214503985e-4,0.001935836330420717
10,2.000456408220325e-5,0.004261015753238776,4.499883138073815e-5,1.7999940579026454e-5,2.3998363976626892e-4,0.0019354739258364076
11,1.9974550963940485e-05,0.004260912162752727,4.500651614769633e-5,1.8000331327621007e-5,2.400912254609403e-4,0.0019394442230812362
12,2.0114174316038523e-5,0.004261565539545605,4.497076601625716e-5,1.7998513534877138e-5,2.3941925876737528e-4,0.0019462545268494906
13,1.9241029473776034e-5,0.004262065793714719,4.510764362082214e-5,1.80054733726836e-5,2.389901811846524e-4,0.0019659396926377496
14,1.9052400754956716e-5,0.00426199053119859,4.411869468530198e-5,1.7985151823749588e-5,2.3826833047426628e-4,0.0019965489634681164
15,1.800820404347361e-5,0.004262000606967868,4.400215238565364e-5,1.8009045619323077e-5,2.3603493452918354e-4,0.0020614899899046406
16,1.7851394639618597e-5,0.004262009875363629,4.2749678588030894e-5,1.6846653290055947e-5,2.335644949683081e-4,0.0021733001404702595
17,1.5626471471188404e-5,0.004261916189849441,4.0839024548854574e-5,1.5928569055984853e-5,2.353751162871922e-4,0.0023617230499565047
18,1.4537267644568898e-5,0.004262607585844843,4.0998856967206686e-5,1.6014464431531596e-5,2.5396742565747906e-4,0.002568870763297219
19,1.4043841680878209e-5,0.004265271643513086,4.1380283927698816e-5,1.6025160051731112e-5,2.7096520080572537e-4,0.0026504198968408787
20,1.3216837240405826e-5,0.004266191244224329,4.332327632218903e-5,1.5888301680195108e-5,3.1876435180400723e-4,0.002675132857002668
