frame,anger,disgust,fear,happiness,sadness,surprise
1,2e-5,0.004254,5.1000000000000006e-5,1.8e-5,2.37e-4,0.001973
2,2.0018733069169753e-5,0.004237834584431159,4.881822419184489e-5,1.799978124385288e-5,2.3887555414042592e-4,0.0020001791269364786
3,2.120766881645057e-5,0.0042378135055191925,5.787356095991085e-5,1.8001432739606555e-5,2.2809281123645518e-4,0.0020242763789761788
4,2.309521889423874e-5,0.0042305463154715004,7.043673766704633e-5,1.7991719719009763e-5,2.0369554590359787e-4,0.0021160903588284766
5,2.834071329664201e-5,0.004221897122745016,1.7247287178737483e-4,1.8042497619631822e-5,1.6362811422494932e-4,0.0022890512212791147
6,4.643179746047166e-5,0.0042177663239819,5.962530078474875e-4,1.778168947391597e-5,9.384745351097487e-5,0.00272175384909719
7,7.094677465332831e-5,0.004211098861925336,0.0028718782901249193,1.6895717437180238e-5,6.065075656262033e-5,0.003230940374165954
8,9.967607500680619e-5,0.004212427602540901,0.006905562966985381,1.7029160049728654e-5,4.083092182604616e-5,0.0036504630079164588
9,1.3303814790365626e-4,0.0042191356077007705,0.01947147414057266,1.699066628182134e-5,3.172025098556719e-5,0.0040459314821298395
10,1.6144703244768172e-4,0.004219600760484582,0.03261102937512244,1.7008632061761417e-5,2.483974887326977e-5,0.004365556014479953
11,1.6774629963315095e-4,0.004218604580750265,0.03797779168644003,1.6973064897321673e-5,2.387474313637942e-5,0.004439181881465863
12,2.0191007623139782e-4,0.004216216415949695,0.05954610747000205,1.710316944181012e-5,2.000914974123557e-5,0.004619255262319788
13,2.7929517901773536e-4,0.004206933834368285,0.15739016955781787,1.6385136813526074e-5,1.4178206279572271e-5,0.005294648372211483
14,3.393033486307703e-4,0.004206250780765635,0.2717991545841426,1.5889553668604355e-5,1.0358344019808344e-5,0.00605218373575229
15,3.9128034199600317e-4,0.0041959836625868035,0.36080875497198106,1.6147230531517276e-5,9.222561681975813e-6,0.006259380525210499
16,3.8714354790292816e-4,0.004197742671496909,0.3783657086481817,1.5110144369764447e-5,8.9568122907616e-6,0.006602986374216312
17,4.156597266545171e-4,0.004201177901210016,0.4088520404568079,1.5797604183470938e-5,9.008553263324078e-6,0.00641833616113245
18,4.2247862111204336e-4,0.004203146890055513,0.41740685251914494,1.6054598425597083e-5,8.999610851614418e-6,0.006334711038442438
19,4.349972869776832e-4,0.004212067202380421,0.42796558957669045,1.5945162102236172e-5,8.996775067339834e-6,0.006192784758350375
20,4.5274803529403353e-4,0.004221737497522485,0.4373728476072956,1.6973303610039753e-5,9.006351115285467e-6,0.005925385910639776
21,4.530361413579507e-4,0.00422500362178747,0.4436846397952421,1.699835496217418e-5,9.006504123991441e-6,0.0060099982064257896
22,4.612344232753165e-4,0.004226272012944014,0.44720690434510546,1.700241630100143e-5,1.0034712400544208e-5,0.005854687677965951
23,4.5863772538099807e-4,0.004233744618230817,0.4473757245538219,1.6998920286163663e-5,9.983015577535327e-6,0.005821357857851292
24,4.597201458473683e-4,0.004238610623826107,0.45133463674360846,1.7000380928837437e-5,1.00143288303416e-5,0.005806361446272367
25,4.556235590334095e-4,0.004243036062719422,0.45092508179488255,1.6999879383199168e-5,9.953435062035071e-6,0.005787623469634178
26,4.419989348340321e-4,0.004246094011518477,0.44466254567032765,1.7000035810103855e-5,1.0229486359278087e-5,0.0058764445618638824
27,4.430917972883981e-4,0.004247014471764135,0.44690276338742185,1.6999989830809278e-5,1.1104953678719e-5,0.005879545055713175
28,4.317619237343958e-4,0.004250638911304078,0.44390499338462897,1.7000002791213102e-5,1.097119458191105e-5,0.005933106510622661
29,4.2553356608226816e-4,0.004251783168483009,0.4423088542069444,1.6999999254524416e-5,1.1007684987195732e-5,0.005978202168609413
30,4.097586138176099e-4,0.004253213489414749,0.42715568944936505,1.7000000197218618e-5,1.0998000870922758e-5,0.00601514682419821
31,4.093918023353652e-4,0.004252939547839199,0.4310064380390278,1.699999993681469e-5,1.1000507725283221e-5,0.006077989881661293
32,4.108031486529523e-4,0.004253039175749956,0.4342356022446337,1.700000006650208e-5,1.0999874121578857e-5,0.0060922874483574545
33,4.096691013664997e-4,0.004252898918556034,0.43149427255413103,1.6999999791380755e-5,1.1000030419557933e-5,0.006107787158000897
34,4.112477905876502e-4,0.004253657853227098,0.42752160472217404,1.700000075899631e-5,1.0999992857217625e-5,0.0060852641647968116
35,4.138567182026959e-4,0.004254191981356547,0.4309877095712425,1.6999997290361476e-5,1.1000001620784026e-5,0.0061140276262994665
36,4.186679504202834e-4,0.004253084185786853,0.43453372640748095,1.70000093057602e-5,1.0999999647864204e-5,0.006104383822339669
37,4.1749376604241695e-4,0.0042538376070494896,0.42844329170214895,1.6999969741824677e-5,1.1000000072057802e-5,0.006085504147786838
38,4.274863428617998e-4,0.004253973530137217,0.4330295015701121,1.7000090284360798e-5,1.0999999986559567e-5,0.005999658862764154
39,4.339661621443584e-4,0.004254921611128581,0.4291461366949736,1.6999771618747285e-5,1.1000000002106928e-5,0.005884437974725559
40,0.00043388916116811885,0.004255029244233585,0.4213916585186424,1.700035043601761e-5,1.0999999999801902e-5,0.005838434599295513
41,4.4322901486087865e-4,0.0042540025531284855,0.4262981738496319,1.7000950692309036e-5,1.0999999999967457e-5,0.005810627239781866
42,4.535301885311072e-4,0.004255039458082644,0.42623601889794294,1.6986681845634553e-5,1.1000000000028033e-5,0.005727335070740991
43,4.569007777800122e-4,0.004255047358401452,0.4254058929280664,1.7091675051590987e-5,1.0999999999987154e-5,0.00570209502830628
44,4.518002951308988e-4,0.00425622160279623,0.4032334609790081,1.8078835511579206e-5,1.1000000000010708e-5,0.005576467424544716
45,4.4304408684288463e-4,0.004257074030050044,0.38708864035828316,1.797541558664979e-5,1.0999999999965442e-5,0.005525308513911717
46,4.4167219756695286e-4,0.004256938747713379,0.38733827813456745,1.8007225742185062e-5,1.10000000001553e-5,0.005505379398711162
47,4.462327120672456e-4,0.0042572263962286075,0.3832320990856206,1.799796331919754e-5,1.099999999931177e-5,0.005454028641681043
48,4.3939390448363973e-4,0.004258475287285849,0.3782087662063194,1.800055562741578e-5,1.1000000002949179e-5,0.005444245280636838
49,4.448142688061114e-4,0.004259008382413378,0.38612914905244516,1.79998525380623e-5,1.099999998772965e-5,0.005435265664571176
50,4.4483090204324344e-4,0.004259371071099026,0.38166725639419186,1.8000038174359504e-5,1.100000004973771e-5,0.005417225643971374
51,4.3608412319058354e-4,0.0042605588407962,0.37172805818677385,1.7999990350834545e-5,1.099999980322598e-5,0.005417727696162906
52,4.415550616035623e-4,0.004261538953226578,0.3804035522940587,1.800000238045929e-5,1.1000000760109108e-5,0.005437081823469962
53,4.4297259755234097e-4,0.004262742571730435,0.3795584412950143,1.7999999427862187e-5,1.0999997135956132e-5,0.005384373303247289
54,4.486670507487985e-4,0.004262945691895963,0.3838292860644023,1.8000000133497655e-5,1.1000010498299763e-5,0.005374879192580748
55,4.495684897594073e-4,0.004263759537712204,0.3804159752620162,1.7999999969942792e-5,1.0999962754101008e-5,0.005361604739296316
56,4.4472732886628464e-4,0.004264010337745012,0.3798910057102275,1.8000000006463174e-5,1.1000126723117576e-5,0.005372074944741654
57,4.4203076918254794e-4,0.004264684875458242,0.3891774687993138,1.7999999998697247e-5,1.0999593633508333e-5,0.005473957269576627
58,4.458078910362634e-4,0.004266871319676395,0.38563308725312984,1.8000000000236875e-5,1.100118383438447e-5,0.005428394457616768
59,4.5758102521316015e-4,0.004266953910551695,0.4053617172245426,1.7999999999964906e-5,1.0997164065704337e-5,0.0054875527244186645
60,4.570227954018196e-4,0.004268960058221075,0.4001776999280161,1.8000000000002504e-5,1.1003312616283613e-5,0.005472507968561239
61,4.5468149292665877e-4,0.004270011191971688,0.3970396691815992,1.8000000000000925e-5,1.1020198674011632e-5,0.005475213521877798
62,4.418312962130356e-4,0.004269959380857184,0.38619660376263565,1.7999999999999397e-5,1.2044311608084559e-5,0.005495477887820196
63,4.4686989552312437e-4,0.004270233015961306,0.39460492673424374,1.8000000000000238e-5,1.1982441778693378e-5,0.0055315439742594655
64,4.4238648938883926e-4,0.004271996306743943,0.37694892835445465,1.799999999999992e-5,1.2006103256335187e-5,0.005468725681348659
65,4.4636063646918e-4,0.0042709632404743705,0.3824523978386202,1.8000000000000024e-5,1.1997054499437753e-5,0.005513956671664348
66,4.366233692281331e-4,0.004272604360542506,0.3608835575929577,1.7999999999999994e-5,1.2005773825184494e-5,0.005506161633633693
67,4.4142102502246804e-4,0.004274389032952452,0.37136764830457614,1.8000000000000004e-5,1.1976724118117122e-5,0.005534385868706432
68,4.5226814033145075e-4,0.004275500509233914,0.37212977937178865,1.8e-5,1.209854032487068e-5,0.005467041032784615
69,4.548764313225075e-4,0.004275694419338592,0.35897891945180965,1.8e-5,1.1510446566011566e-5,0.005346465089998501
70,4.643427516905363e-4,0.004274766479999734,0.35732484870197834,1.8e-5,1.1282109895045752e-5,0.005286805189729085
71,4.4060153049915523e-4,0.0042756108110430496,0.31826759933439647,1.8e-5,1.2660208180338964e-5,0.005190216970713548
72,4.264774646895668e-4,0.004275936021164563,0.29028432414968325,1.8e-5,1.3070209669650364e-5,0.005087216759077043
