frame,anger,disgust,fear,happiness,sadness,surprise
1,2.1e-5,0.186062,4.3e-5,1.9e-5,2.1600000000000002e-4,0.002201
2,2.0999535781085388e-5,0.16135343150856638,4.2852031041584615e-5,1.9000000000000035e-5,2.2115345079802416e-4,0.0021858068000265556
3,2.1003175679393127e-5,0.16348049099555592,4.215836390373267e-5,1.8999999999999777e-5,2.225935105636725e-4,0.002177499210530393
4,2.098205371877837e-5,0.15463920922609026,4.282426737950903e-5,1.900000000000126e-5,2.2531694848556833e-4,0.002152526855908779
5,2.108619701209918e-5,0.159964491370002,4.185792363433499e-5,1.899999999999394e-5,2.2487990362027733e-4,0.0021633797081255573
6,2.0462748832086683e-5,0.16215100448067965,4.204111854213441e-5,1.9000000000025717e-5,2.2535202185763664e-4,0.0021491521011093423
7,1.982118058958944e-5,0.15629942908774513,4.1962683939145955e-5,1.8999999999903206e-5,2.2753737517325112e-4,0.0021469529956540524
8,2.0826168151758942e-5,0.15631436474768706,4.209907866409015e-5,1.9000000000311198e-5,2.268787055037856e-4,0.0021377106370801253
9,2.1018895609803785e-5,0.17146226445927776,4.106851670083632e-5,1.899999999927187e-5,2.2144670165367663e-4,0.002196674300041699
10,2.1e-5,0.18175,4.1e-5,1.9e-5,2.1899999999999998e-4,0.002234
11,2.102673619475211e-5,0.18401138372891088,3.991690604293029e-5,1.9000000014390637e-5,2.1686835018772333e-4,0.0022642035305337647
12,2.0765914960906026e-5,0.18651453183293307,4.0210034528537306e-5,1.899999988412677e-5,2.1729227204232482e-4,0.0022579453692429703
13,2.0201072770616957e-5,0.19889933133686732,4.111763511772451e-5,1.9000000661020532e-5,2.177048008643473e-4,0.0022287080460883157
14,2.1126759214976986e-5,0.22694454005078707,4.088101534282735e-5,1.8999996823441606e-5,2.1735109991399772e-4,0.002219763949903349
15,2.09989118781155e-5,0.24855277264506231,4.1571712126685155e-5,1.9000013480345452e-5,2.1775268231773658e-4,0.0022052151382201996
16,2.089186942065727e-5,0.29202998081315673,4.2070998269333626e-5,1.8999949262574374e-5,2.1557674341534988e-4,0.0022127972893349443
17,2.1838113940321886e-5,0.36661660631855886,4.1987093463018774e-5,1.900016312178447e-5,2.1425247095699048e-4,0.002219354669069092
18,2.196038182574423e-5,0.47324846320750114,4.200268302679306e-5,1.8999618333336778e-5,2.1224936664842627e-4,0.002234340867043538
