frame,anger,disgust,fear,happiness,sadness,surprise
1,2e-5,0.004259,4.6e-5,1.8e-5,2.4e-4,0.0019320000000000001
2,2.0000000467441764e-5,0.0042599884601256365,4.6027502658573536e-5,1.7998443723550202e-5,2.4000001559607858e-4,0.0019340084077195654
3,1.9999997392772742e-5,0.004260015502618642,4.5037104293684274e-5,1.8008680367698217e-5,2.3999991301050866e-4,0.001933045883651007
4,2.000001350534868e-5,0.004259945531646222,4.498462999394835e-5,1.7955035990072562e-5,2.4000045060261146e-4,0.0019329908225898915
5,1.9999936688200243e-5,0.0042609242425910255,4.500568658634782e-5,1.8210787034149515e-5,2.399978876174923e-4,0.0019329571367072461
6,2.0000278189820712e-5,0.004260964441967236,4.499793049853914e-5,1.707380918784012e-5,2.400092817344212e-4,0.0019338288440596898
7,1.9998828620155852e-5,0.004261816165969996,4.500116847678944e-5,2.1899931515918795e-5,2.3996091720181585e-4,0.0019347965766447956
8,2.0004785676742185e-5,0.0042646022151232995,4.4997629573387404e-5,2.066815179515863e-6,2.4015967291841618e-4,0.0019368875263505734
9,1.9980888625794322e-5,0.004283914375660077,4.500871975044558e-5,8.16284215999076e-5,2.380579877624216e-4,0.0019479902227687617
10,2.0459626285606256e-5,0.004340762530015552,4.496602911296005e-5,0,2.3165706533536363e-4,0.001995936634708339
11,2.3242911650596707e-5,0.004629971101249515,4.5131188600155355e-5,9.850465929243828e-4,2.104915790222809e-4,0.0021490225105687847
12,2.7178861161548368e-5,0.005154226701857344,4.420326217845419e-5,0,1.5289798439910852e-4,0.002709582151228209
13,5.5833991395064545e-5,0.007346760722956973,4.22484058990479e-5,0.013937690816277985,7.812106636991052e-5,0.004200336332442472
14,2.8740232375500375e-5,0.00320516401041575,1.4328004335174363e-5,0,1.5342944465667312e-5,0.00785397206305092
15,0,0,0,0.6426491691089902,0,0.01310953417210993
16,1.3289168812991346e-6,1.444895737738939e-4,6.189374625722943e-7,1,8.005726768810201e-7,0.01772079693991581
17,8.81648502553855e-7,3.17506332846732e-6,0,0.9765704511101245,0,0.02074059225487476
18,1.0328415863174635e-6,4.5830176247741905e-5,4.8073289275129694e-8,1,6.218101861445226e-8,0.022894238462509407
19,9.909644322761347e-7,3.6189741551274056e-5,0,0.9975389898141269,0,0.024226548247337113
20,1.0024645037777895e-6,3.972192606455416e-5,3.6075237634319316e-9,0.9997482593957502,4.666198331614376e-9,0.02514841574781697
21,9.99333764902837e-7,3.880597800229312e-5,0,0.9991549618733699,0,0.025988433458391025
22,1.000178418042199e-6,3.904800721976577e-5,2.611671238557611e-10,0.9993171643980588,3.378099795757827e-10,0.026564523727923426
23,9.99952702239274e-7,3.90008479966891e-5,0,0.9992714862735373,0,0.027275879215523505
24,1.0000123984079783e-6,3.895371935072059e-5,1.8148877543569417e-11,0.9992781553966571,2.3474677192628208e-11,0.027678641120361967
25,9.999967911336174e-7,3.918636515861938e-5,0,0.9992707893186044,0,0.028137483148579206
26,1.0000008181895043e-6,4.028281101082479e-5,1.1995635094154677e-12,0.9992681657805194,1.5491290922515326e-12,0.028464944716954734
27,9.99999795117285e-7,4.1142748043636244e-5,0,0.9992684366122564,0,0.02901294229211496
28,1.0000000501486625e-6,4.239732666862068e-5,9.274129189410674e-14,0.999264650046606,9.494958254926304e-14,0.030119513336196977
29,9.99999988090369e-7,4.5550576614258866e-5,0,0.9992619660601212,0,0.031738848018258055
30,1.0000000027100901e-6,4.957439505561371e-5,1.7545924228683933e-13,0.999251771095911,5.1311823380064525e-15,0.033472242636185395
31,9.999999994228798e-7,5.313349486496444e-5,0,0.9992470454510701,0,0.035977376867234075
32,1.0000000001090605e-6,5.421252623580175e-5,1.118014448913303e-12,0.9992501054117954,2.064913591132712e-16,0.03768266190293827
33,9.999999999845672e-7,6.019238594929191e-5,0,0.9992500333782595,0,0.04168736137658597
34,1e-6,6.4e-5,1.2924697071141057e-26,0.999251,0,0.043257000000000004
35,1.0000000000012269e-6,6.306239819439801e-5,2.5159507305093992e-11,0.9992442186813549,2.3231126212232207e-18,0.04566060022375904
36,9.999999999993143e-7,6.194609573325446e-5,0,0.9992409330267608,0,0.04459567124651078
37,1.0000000000002856e-6,6.315248443319315e-5,9.408563682722149e-10,0.9992438236339367,5.40837023320215e-19,0.044985656690022656
38,9.999999999998947e-7,5.856163056921386e-5,0,0.9992438901245934,0,0.044141922430551886
39,1.0000000000000362e-6,5.6893204927525835e-5,1.9415801950650725e-8,0.9992460242743479,6.841436299723903e-20,0.043942600858169256
40,9.99999999999988e-7,5.782309266071986e-5,0,0.9992426775461279,0,0.04288607192736729
41,1.0000000000000038e-6,5.773744766447894e-5,8.230903215890423e-7,0.9992422651601319,7.133277926289841e-21,0.043346825307724005
42,9.999999999999987e-7,5.224738046370201e-5,1.0518963187937466e-6,0.9992466942451301,0,0.04246313332790683
43,1.0000000000000004e-6,5.002790032565464e-5,9.841057841545122e-7,0.9992512978459789,6.715388744318674e-22,0.04328332694174296
44,9.999999999999997e-7,4.888756313557452e-5,1.0052455731848738e-6,0.9992521929744028,0,0.043096980121149375
45,1e-6,4.5780396508546644e-5,9.96563482571419e-7,0.9992522112564015,5.914321781365947e-23,0.043105591989250805
46,1e-6,4.474940390470225e-5,1.0081330051840949e-6,0.999255739596322,0,0.04221787786921599
47,1e-6,4.5280382800964904e-5,9.710224037514842e-7,0.9992575042645966,4.957482680838249e-24,0.04267363900800121
48,1e-6,4.376804685349835e-5,1.1067953947395925e-6,0.999260546362415,0,0.042141532547199774
49,1e-6,4.295391814548948e-5,4.4628608207360566e-7,0.9992655927334518,3.9908187185126732e-25,0.04154786695872193
50,1e-6,4.241204937124725e-5,0,0.9992677402021375,0,0.04087930705442839
51,1e-6,4.243590473164795e-5,2.7368949574486212e-8,0.9992684021649152,3.079065096296366e-26,0.03992967490000203
52,1e-6,4.279186352148313e-5,0,0.9992728776975256,0,0.03926535503906325
53,1e-6,4.142106633837e-5,2.0538252619236334e-9,0.999276668196151,0,0.03830720291976897
54,1e-6,4.101588743032199e-5,0,0.9992783447828352,8.581411424884221e-27,0.037926337983822604
55,1e-6,4.0676368552583954e-5,1.4868692251720272e-10,0.9992818612179797,0,0.037013995613488365
56,1e-6,3.98937922560462e-5,0,0.9992817258822441,1.0983445773387472e-25,0.036127851116576945
57,1e-6,4.0011625563212566e-5,1.0332369438104358e-11,0.9992830062823136,0,0.03512685369480016
58,1.0000000000000002e-6,4.0051243906471266e-5,0,0.9992867131024197,1.2476140305380088e-24,0.034822485678705245
59,9.999999999999995e-7,3.979412712179342e-5,6.81848527935536e-13,0.9992867434829205,0,0.03428545123164729
60,1.0000000000000012e-6,3.891003341584609e-5,0,0.9992860478396622,1.325254492093605e-23,0.03432870140660473
61,9.999999999999961e-7,3.902197273045742e-5,4.179201901770603e-14,0.9992855824204452,0,0.033533612778681
62,1.0000000000000114e-6,3.8994928538359686e-5,0,0.9992843048827337,1.2710347772467563e-22,0.033754616835609985
63,9.999999999999665e-7,3.90007268700444e-5,2.2584842942181785e-15,0.9992883401884958,0,0.03268243653155851
64,1.000000000000091e-6,3.900100483932678e-5,0,0.9992890762700711,1.0047929051838681e-21,0.03261948295270623
