frame,anger,disgust,fear,happiness,sadness,surprise
1,2e-5,0.004266,4.4999999999999996e-5,1.8e-5,2.41e-4,0.001934
2,1.9973898847537372e-5,0.0042697148533881474,4.500017292965268e-5,1.7963288966499076e-5,2.4104872984448604e-4,0.0019327569001709975
3,2.0158626467499708e-5,0.004309478873440736,4.499881485117507e-5,1.823133978097587e-5,2.3677312385282835e-4,0.0019575036923172736
4,2.1858727413382255e-5,0.004465221199270245,4.500643466511916e-5,1.9311224949457206e-5,2.2093758899083092e-4,0.0020572391607972668
5,2.763667697318675e-5,0.0050973754188016656,4.497153457771123e-5,2.1517326670194063e-5,1.7554660660253736e-4,0.002487443422073267
6,3.7306090131389485e-5,0.006011355733578985,4.510314929389458e-5,2.561402262283608e-5,1.267752609886232e-4,0.003124267133414334
7,5.612068107787454e-5,0.007481001348615968,4.411872602573567e-5,3.2121868800686165e-5,8.580320607001819e-5,0.0042489740914725535
8,8.16614188249008e-5,0.009122916624852885,4.3998252229001026e-5,3.8915213240101015e-5,5.919800295826557e-5,0.005572539203140781
9,1.1488939482038138e-4,0.010938459665541881,4.399517053925799e-5,4.718835806751005e-5,4.2533451559316056e-5,0.007173509037435539
10,1.1742641489625156e-4,0.011043574248933428,4.400307306181161e-5,4.715473999357385e-5,4.227034786726316e-5,0.007275227849214266
11,1.6981106595018712e-4,0.013487355879454727,4.399310802760794e-5,5.8112596575124244e-5,2.8541846804235202e-5,0.009607305095435358
12,1.7362866955672424e-4,0.013615007805515889,4.4028569537279784e-5,5.903207884526567e-5,2.7971153587223242e-5,0.009710248383922806
13,1.6924376489960824e-4,0.013382071910385413,4.389525103587636e-5,5.750192024954704e-5,2.978108733042506e-5,0.009450787787404864
14,1.5593599856200398e-4,0.012831916843470459,4.487339013189705e-5,5.481161764820344e-5,3.137946838957402e-5,0.008873583113873876
15,7.610955652827138e-5,0.008669552461359692,4.5002671512784615e-5,3.726524475061541e-5,6.527856987687051e-5,0.005144633094760487
16,4.968711290061908e-5,0.006808236723105313,4.4980635448171695e-5,2.9441024925149525e-5,1.0303586365731341e-4,0.003673024928055306
17,3.988018903811095e-5,0.0059897807998133224,4.522440297540864e-5,2.5671503788625226e-5,1.298509528637216e-4,0.003053894612046297
18,3.531858533787038e-5,0.005543827000456303,4.6123203249246086e-5,2.350167410630628e-5,1.536940059460859e-4,0.0027240426907166673
19,2.9668489506553318e-5,0.004978753639854079,4.590568153624512e-5,2.0161302668885935e-5,1.8870332338859073e-4,0.0023012118260736488
20,3.089379477582899e-5,0.004956116508707764,4.658657803222646e-5,1.934782281390768e-5,1.976511324510315e-4,0.002228365340530244
21,3.0685863474351064e-5,0.004794750884051323,4.8548120660524646e-5,1.8227750005910723e-5,2.226509637112145e-4,0.0020291807492681634
22,3.585275865378593e-5,0.004689593049705995,5.192732780047401e-5,1.6063527741507482e-5,2.6906355367343473e-4,0.0017482732143204779
23,4.1994814546077e-5,0.004702498230939444,5.433177026932415e-5,1.3753347798748726e-5,3.009287286831173e-4,0.001602668375092652
24,5.628200545774739e-5,0.004733425131443241,5.91406135924381e-5,1.1767795901213871e-5,3.6611704097904715e-4,0.0013626887707000504
25,7.98842440542923e-5,0.004832593050192126,6.570112971002267e-5,9.93373708504423e-6,4.4545183366422476e-4,0.0011689407501929928
26,1.2745269647925712e-4,0.0048110329195952695,7.705011533179811e-5,6.859080995311571e-6,6.452343770505483e-4,8.600398792450452e-4
27,2.344814418541899e-4,0.0046598948981808825,9.63407520140653e-5,4.474745418996978e-6,0.0011410285574281506,5.580460707391209e-4
28,2.9833604496403565e-4,0.004594053086457477,1.0659011070821309e-4,4.019102630188285e-6,0.0014433464250344025,4.5419385822835956e-4
29,4.0270178042516665e-4,0.004548090083450825,1.1961774106703097e-4,3.030137119408882e-6,0.0019286611898924927,3.6371716271063376e-4
30,4.245523724472689e-4,0.004495983350890898,1.2159904460424612e-4,3.010343645250711e-6,0.0020567855156994968,3.45869455393501e-4
31,3.8859186940227547e-4,0.004482925931234443,1.1823975346720983e-4,3.0478847009070038e-6,0.0019369347796950641,3.601608793926267e-4
32,5.387645953789621e-4,0.004478101314092551,1.3189968644433908e-4,2.616541487605849e-6,0.002511399945366404,2.9838658851709436e-4
33,7.183901609072579e-4,0.00448391918871975,1.4514400312682038e-4,2.0052832672417886e-6,0.0031395673277002235,2.43408221138574e-4
34,0.0010200883526665333,0.004498468528059864,1.6378040342848732e-4,1.3256583898653187e-6,0.004189913584831049,1.9778407525199786e-4
35,0.0015070977006958102,0.004513019382238422,1.854627504997567e-4,9.569416192287016e-7,0.005524242201019203,1.5621117180453114e-4
36,0.0018490985354715174,0.004537197932463381,1.9783936927837714e-4,1.0026633001471015e-6,0.006410684601420013,1.3925218270109647e-4
37,0.0019826781986431448,0.004598030470606569,1.9610090579728857e-4,1.0010088241847538e-6,0.006263665691499212,1.419671693653148e-4
38,0.0021669682481123003,0.004681663221228701,2.0211486735892837e-4,9.994813445716623e-7,0.006612522462109644,1.3433571871139413e-4
39,0.0035160750238719942,0.004749870763138883,2.2980541963750625e-4,1.0001596717965732e-6,0.00878964244498913,1.1022136420403125e-4
40,0.005812916915569795,0.0047888739214255,2.7105491500937487e-4,9.999606656949167e-7,0.012446773584808253,8.029440514731624e-5
41,0.006045973613596178,0.004833833167683914,2.683357824745087e-4,1.0000086562332278e-6,0.012089402436976534,8.302277560908478e-5
42,0.005841180436816803,0.004897875037755768,2.592790983937812e-4,9.9999647488275e-7,0.011052246519562383,8.906191619287404e-5
43,0.0051822891373258205,0.004944037032964272,2.472864939245332e-4,1.0000035069308924e-6,0.0098405084311432,9.796015114844244e-5
44,0.003729413618450041,0.0050031829535431855,2.1604381152181537e-4,1.000021302004223e-6,0.007211400806321387,1.2602574725366437e-4
45,0.0029446785942075977,0.00502200018070946,2.0187862971223844e-4,9.997567273921593e-7,0.006132555616437662,1.435216281692482e-4
46,0.0027093725267513715,0.005072255309912065,1.9357361723888636e-4,1.0015076793085575e-6,0.005569050031529413,1.557153839221687e-4
47,0.0021750338922017403,0.005092441244936244,1.8481181598923698e-4,9.927437404123046e-7,0.005017423796414285,1.6811240469177122e-4
48,0.0020631417508179127,0.005110539373364515,1.7815682571299416e-4,1.0287790858031823e-6,0.004656798285464895,1.7891490216898303e-4
49,0.0021048917809501225,0.0051720813295866655,1.788160101360113e-4,9.104904436798951e-7,0.004589985712149871,1.804537327506909e-4
50,0.001738556994485613,0.00518884299639164,1.6905964074614106e-4,1.9499570909328733e-6,0.003965488262864915,2.0274857630290586e-4
51,0.001403764234612665,0.005257123275184936,1.554946078825634e-4,1.9894844641667835e-6,0.0033127219618629016,2.3447237268800505e-4
52,0.0014067598494861243,0.005295376227737729,1.5482388943943544e-4,2.0055631815365438e-6,0.003227005706171952,2.3991439229068234e-4
53,0.0013478670652023836,0.005322116427615196,1.5081977667272812e-4,2.0034136999953437e-6,0.0030686953847803775,2.490954955281806e-4
54,0.0015024814358853733,0.0052647090682393285,1.5663120375969674e-4,1.973757071912879e-6,0.003391241439070671,2.3440414484539885e-4
55,0.0016998976333522148,0.005251811323735084,1.6561878203820874e-4,2.1075429850966944e-6,0.0038134718828383768,2.0820821090407137e-4
56,0.0019644509075978068,0.005261148102287965,1.7285994747245963e-4,1.187095651430194e-6,0.004190055011068145,1.9544271882797654e-4
57,0.002136128051531017,0.005346614369966858,1.7940372414221672e-4,9.845905658676614e-7,0.004503885101997006,1.8310018900590425e-4
58,0.002236423813544275,0.005388649353815754,1.7312335498016995e-4,9.975077213259628e-7,0.0041543037544110204,1.9569594994214905e-4
59,0.003002412894323827,0.005415087355682655,1.906398994980017e-4,1.0018946162255666e-6,0.00514590051575197,1.6481987803674126e-4
60,0.0037656168457178506,0.005474547616467134,2.1000722195505322e-4,9.980200145885056e-7,0.0063586333654116365,1.3804961132353965e-4
61,0.004841885900315511,0.005557466933632844,2.2473163953134182e-4,1.0072225813451343e-6,0.007383450831770087,1.2353128424080564e-4
62,0.0065412271943413565,0.005605336976651414,2.526244148602875e-4,9.710883204300309e-7,0.00959944227893349,9.90281002741257e-5
63,0.009925435796220846,0.005704364032814838,2.856920198080561e-4,1.0938438525598221e-6,0.012523656683512891,8.061690812643817e-5
64,0.012757517497500972,0.005690637949676322,3.208045160839484e-4,6.615859825907535e-8,0.01638955454339241,6.418019370598311e-5
65,0.01606011741113696,0.005642109378113379,3.5896709885674394e-4,7.844902275479952e-9,0.02099416813708838,5.2756916741727236e-5
66,0.020045535547657985,0.005754537165212656,3.7658392030490243e-4,0,0.02324576696808751,4.868719971300037e-5
67,0.03021293520471664,0.005692784414616837,4.607247244615053e-4,2.0490359111213153e-9,0.03668054405212712,3.4030184034734234e-5
68,0.04225864766026482,0.005697510726524854,5.175640536834438e-4,0,0.04678841065357988,2.6942961131434752e-5
69,0.04788366903751151,0.005754786248869383,5.446255813544999e-4,1.1603067129701916e-10,0.05223528190534871,2.5399748537743754e-5
70,0.06304906912032515,0.005795926288629142,6.11339929109365e-4,0,0.06622985159845364,2.040230316636596e-5
71,0.07011313864829827,0.005726317735687653,6.407094367549814e-4,1.811799871371359e-11,0.07306320353736084,1.906673555852115e-5
72,0.06279120415497495,0.00572473639589065,6.380343084672253e-4,3.1057461890967045e-11,0.07225240626600966,1.9042358095993987e-5
73,0.05587457419068753,0.005737316426427791,6.226857088798891e-4,0,0.06897084573560458,1.9853254614148116e-5
74,0.055439115701711464,0.005728996030772236,6.404679426845842e-4,4.116452232257998e-9,0.07309894639252904,1.7450276131193036e-5
75,0.021391558161497574,0.0055090325133542156,4.623122732586678e-4,0,0.03915734117781203,3.622626440506985e-5
76,0.0013637135524022992,0.0050891131030621345,2.295040903861119e-4,3.1086420949534877e-7,0.007842167864773975,9.975885064529908e-5
77,3.7873585885371845e-4,0.004782220728662278,1.0725027492496428e-4,3.7850496629305717e-6,0.0017422679652156128,4.4847522050979634e-4
78,3.3696851492441915e-5,0.00457837035164465,6.251571885227306e-5,9.464389336355415e-6,4.607403831014636e-4,0.0010936295360154662
79,2.863942058985129e-5,0.004461676881331249,5.082319625751973e-5,1.408980975447962e-5,3.101708911527074e-4,0.0015747130843184558
80,2.4760390643965662e-5,0.004389130912512053,4.765993325969753e-5,1.6197173416472687e-5,2.688138838931506e-4,0.0017876000836882777
81,2.0941326267990318e-5,0.004344712319270037,4.561018876053112e-5,1.735944828453739e-5,2.4769266684292256e-4,0.001898741473583439
82,1.9498259650591764e-5,0.0043131971919399235,4.447557831292908e-5,1.806063028203462e-5,2.4059502300117962e-4,0.0019673647892899148
83,1.8905612851813683e-5,0.00428707608780309,4.4014988910056934e-5,1.808861132178625e-5,2.360774387910352e-4,0.002009722977930283
84,1.908729886226183e-5,0.004270177643081841,4.330751069555424e-5,1.7232298685179654e-5,2.3279528932238275e-4,0.002050973858786078
85,1.814733954600361e-5,0.004247309093128164,4.214382228029519e-5,1.6975533276922274e-5,2.2872191063688955e-4,0.002123687139658403
86,1.698735246978864e-5,0.004234944847614512,4.100300229295894e-5,1.6999098368068134e-5,2.2197365260533786e-4,0.0022574808867477257
87,1.71428254748198e-5,0.00423326756954651,4.2101034400561286e-5,1.7001480008096644e-5,2.254385212687521e-4,0.002186499375303176
88,1.809994660798978e-5,0.004227247919367463,4.190043185063155e-5,1.699945443563229e-5,2.261603585299127e-4,0.0021813833076623048
89,1.7966533290916503e-5,0.004222994726416042,4.24437453091679e-5,1.70001481650258e-5,2.2778523717507427e-4,0.002152096271351514
90,1.8034683679038493e-5,0.004213707543510968,4.3085283949998177e-5,1.699996697455947e-5,2.303888379872178e-4,0.002098079037105498
91,1.7898324261717406e-5,0.004205884445276939,4.298640079781699e-5,1.7000005922850084e-5,2.3096597951269399e-4,0.0020936057973011653
92,1.8899512370909724e-5,0.004199376417186747,4.2997513892284454e-5,1.699999928936251e-5,2.3194650216491107e-4,0.00207521123278492
93,1.8998282643037664e-5,0.004195922835551417,4.299842044719645e-5,1.6999999987806717e-5,2.3098905390014817e-4,0.002077089171799682
94,1.9007411944368448e-5,0.004188271862510113,4.3109760509552045e-5,1.700000003762559e-5,2.312158006253153e-4,0.0020706421358334722
95,1.8981051914068252e-5,0.004191903334979466,4.417102293063968e-5,1.6999999985648436e-5,2.335803520357201e-4,0.0020402134724541313
96,1.9091775003133345e-5,0.00418783024262167,4.352483938695348e-5,1.7000000003960506e-5,2.3323140204865923e-4,0.0020560164730264487
97,1.8410719944221354e-5,0.004191649392135034,4.302228576672723e-5,1.699999999910472e-5,2.3151119235556992e-4,0.002089826851167287
98,1.7938416186078368e-5,0.004190167458397332,4.2270493783290074e-5,1.7000000000164893e-5,2.2882847676997572e-4,0.002144122456032986
