frame,anger,disgust,fear,happiness,sadness,surprise
1,2e-5,0.004291,4.4999999999999996e-5,1.8e-5,2.4e-4,0.0019450000000000001
2,2.000000141726084e-5,0.004329578250922883,4.499958010582299e-5,1.7999077668865427e-5,2.3999984004705304e-4,0.001953805836137675
3,1.999999028538617e-5,0.004349936137293996,4.500287816445971e-5,1.8006322118374082e-5,2.4000109639740768e-4,0.0019548640704146083
4,2.0000054293367536e-5,0.004417120867297102,4.4983914415585846e-5,1.7964666727629316e-5,2.3999387241650037e-4,0.001949407350948308
5,1.9999745083765152e-5,0.004456668299852124,4.507552444801885e-5,1.81658954890161e-5,2.400287700060864e-4,0.0019494020353490367
6,2.000103890941061e-5,0.004545846345798764,4.446958882424253e-5,1.732389404379456e-5,2.3943752444684937e-4,0.0019504164317473316
7,1.9996377245281542e-5,0.004737810477787021,4.284341711085508e-5,2.074230515060357e-5,2.312563494642487e-4,0.0020864643113117035
8,2.3063968514561837e-5,0.005213854059644845,3.714543139767977e-5,1.4926646228695043e-5,1.9696480597703532e-4,0.0025100487186270875
9,5.181736905264011e-5,0.007918782317352486,2.7307199373591205e-5,3.654344691816421e-5,8.858824611815075e-5,0.005574468402269555
10,1.2428708015989294e-4,0.012488231059484808,1.6245345002430475e-5,1.2148862719406063e-4,3.5477520178330897e-5,0.014458946742093684
11,2.822618934162173e-4,0.018749472137263683,1.0311976878332637e-5,0,1.3543130580637356e-5,0.034532963933686434
12,3.3028098099153016e-4,0.018231866714184905,6.475926505867427e-6,0.004042012768462718,7.456587291050415e-6,0.05648488069023713
13,1.1255755766280203e-4,0.006081478890787166,1.191950189111961e-6,0,1.7697893358968685e-6,0.06537907654131539
14,0,0,0,0.6591374871682196,0,0.06714067187075014
15,2.6943476614847953e-6,1.426980829611893e-4,3.1654374896715294e-8,1,5.031012885644334e-8,0.06725902069456416
16,7.471593879826924e-7,3.319594398284452e-5,0,0.9917261896084915,0,0.07649092586595534
17,1.0195617607859326e-6,4.191223805165919e-5,3.9065474380808054e-10,0.9997212740257663,6.208901791140545e-10,0.07385413993113123
18,1.0014226944344104e-6,4.011797116886098e-5,8.58213158648749e-11,0.9992955715738779,1.364007810572629e-10,0.08403225932955126
19,1.0350011104404769e-6,3.881650460108482e-5,0,0.9990949577188672,0,0.0783244200985044
20,7.283870848764178e-7,3.906234646901495e-5,1.861304553753065e-11,0.9991834138027386,2.958278981845208e-11,0.08326818856316039
21,0,3.898448186988898e-5,0,0.9991174826835846,0,0.08387273832025267
22,2.5362506816330804e-8,3.899669270090402e-5,1.2109970897369839e-12,0.9990615132032605,1.924707716650177e-12,0.09083318269769189
23,0,3.902715430930235e-5,0,0.9990359878268505,0,0.09056240355747497
24,8.646514948330099e-10,3.891236018675417e-5,4.129310368746805e-14,0.9990504930497747,6.562951801062306e-14,0.09315766017593416
25,0,3.993031493252763e-5,0,0.9990214115527112,0,0.11592845941266233
26,0,3.99897129966137e-5,0,0.9989953245134879,0,0.1353528567977399
27,0,4.012392338448864e-5,3.4395939913117846e-16,0.9990074491546973,5.466745670428666e-16,0.15501634107731865
28,7.853372208989766e-11,4.109869921187318e-5,0,0.9990739155550084,0,0.15184306117210766
29,0,4.097172523175544e-5,3.6708015501958064e-17,0.999075274829579,5.83421721639958e-17,0.1631379188930613
30,1.964865751605014e-9,4.100680413516323e-5,0,0.9991193575198939,0,0.14074592399318125
31,0,4.0999076404380074e-5,1.917387545907833e-18,0.999122300449174,3.047414925017917e-18,0.1297153965971342
32,2.5661362229258116e-8,4.099841978374339e-5,0,0.9991326798927463,0,0.11909959338291463
33,0,4.100438564125033e-5,4.231471237119679e-20,0.9991211945378505,6.725321977971386e-20,0.10572136265063531
34,1e-6,4.1e-5,0,0.9991530000000001,0,0.096834
35,9.835107897112324e-7,4.090832655219337e-5,0,0.9991404647351739,0,0.08889296375013858
36,1.0068759432122556e-6,3.990422979653754e-5,8.672507027374017e-22,0.9991506135666027,1.3783717021082936e-21,0.08663527962845056
37,9.979290032900868e-7,4.00288454672832e-5,0,0.9991653350259313,0,0.08160158073802666
38,1.0005265347369535e-6,3.9992666252495e-5,6.64109063358093e-23,0.9991691030216003,1.0555069452875551e-22,0.07999707601838703
39,9.998836907414082e-7,4.000162004527949e-5,0,0.9991773920336764,0,0.07524546865706924
40,1.0000217613783654e-6,3.999969670926271e-5,2.7447246303597084e-24,0.9991711365526913,4.3623496024241746e-24,0.07374978165042738
41,9.999969378617696e-7,4.000004316555594e-5,0,0.9991656375492757,0,0.07465581556392611
42,1.0000001436183823e-6,3.999999751631534e-5,1.8114339915055657e-26,0.9991330817107603,2.879016150397435e-26,0.07238015907253173
43,1.0000000933043813e-6,3.9999992223570946e-5,1.1768376241446858e-26,0.9991569660437635,1.8704072251079217e-26,0.07042905289665675
44,9.999999542487128e-7,4.000006248511772e-5,0,0.9991428282103784,0,0.06821852694523141
